   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  石家庄北,         -,     15:22,         -,         -,         -,         -,               -,              -
  2,      辛集,     16:13,     16:17,      04分,        51,         0,    14.5/-,           -/-/-,            -/-
  3,      衡水,     16:56,     16:56,      00分,        94,         0,    21.5/-,           -/-/-,            -/-
