   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      邯郸,         -,     06:12,         -,         -,         -,         -,               -,              -
  2,    沙河市,     06:31,     06:42,      11分,        19,         0,       9/-,        55/58/63,            -/-
  3,      邢台,     06:58,     07:00,      02分,        46,         0,      11/-,        57/60/65,            -/-
  4,    石家庄,     08:51,     08:59,      08分,       159,         0,    24.5/-,      70.5/74/80,            -/-
  5,      保定,     10:19,     10:25,      06分,       247,         0,    43.5/-,     89.5/93/101,            -/-
  6,      涿州,     11:17,     11:28,      11分,       305,         0,    53.5/-,    99.5/104/113,            -/-
  7,    北京东,     12:36,     13:04,      28分,       384,         0,    64.5/-,   115.5/120/131,            -/-
  8,    通州西,     13:19,     13:22,      03分,       427,         0,      69/-,     123/128/139,            -/-
  9,      怀柔,     14:06,     14:12,      06分,       474,         0,      72/-,     129/134/146,            -/-
 10,    密云北,     14:34,     14:38,      04分,       502,         0,      75/-,     133/139/151,            -/-
 11,    兴隆县,     16:12,     16:16,      04分,       600,         0,      81/-,     144/150/163,            -/-
 12,  鹰手营子,     16:40,     16:45,      05分,       628,         0,      86/-,     152/158/172,            -/-
 13,    下台子,     17:00,     17:05,      05分,       648,         0,      86/-,     152/158/172,            -/-
 14,      承德,     18:31,     18:31,      00分,       739,         0,      98/-,     171/178/193,            -/-
