   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      衡水,         -,     12:12,         -,         -,         -,         -,               -,              -
  2,      辛集,     12:44,     12:46,      02分,        32,         0,      11/-,           -/-/-,            -/-
  3,  石家庄北,     13:47,     13:47,      00分,        95,         0,    21.5/-,           -/-/-,            -/-
