   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      敦煌,         -,     20:07,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,   嘉峪关,     23:57,     00:12,      15分,       230,       363,       -/-,99.5/104.5/107.5,           -/-
  3,      武威,     04:23,     04:29,       6分,       496,       830,       -/-,     194/200/208,           -/-
  4,      兰州,     07:23,         -,           ,       676,      1133,       -/-,244.5/252.5/261.5,           -/-
