   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      承德,         -,     13:13,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,鹰手营子,     14:43,     14:48,       5分,        90,       101,       -/-,  58.5/63.5/66.5,        12.5/-
  3,   密云北,     16:37,     16:39,       2分,       204,       166,       -/-,  70.5/75.5/78.5,        24.5/-
  4,      怀柔,     16:58,     17:00,       2分,       225,       188,       -/-,  74.5/79.5/82.5,        28.5/-
  5,   通州西,     17:44,     17:46,       2分,       271,       238,       -/-,  83.5/88.5/91.5,        37.5/-
  6,   北京东,     18:01,     18:41,      40分,       288,       251,       -/-,  86.5/91.5/94.5,        40.5/-
  7,      徐水,     20:11,     20:13,       2分,       418,       346,       -/-,100.5/105.5/108.5,        54.5/-
  8,      保定,     20:31,     20:40,       9分,       438,       408,       -/-,110.5/114.5/117.5,        62.5/-
  9,   石家庄,     22:06,     22:16,      10分,       533,       543,       -/-,     133/138/142,          75/-
 10,      邢台,     23:20,     23:23,       3分,       607,       652,       -/-,     158/164/169,          91/-
 11,   沙河市,     23:40,     00:20,      40分,       627,       676,       -/-,     163/168/174,          93/-
 12,      邯郸,     01:17,         -,           ,       724,       704,       -/-,     171/176/182,          98/-
