   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京西,         -,     07:53,         -,         -,         -,         -,               -,              -
  2,      霸州,     08:51,     08:53,      02分,        58,         0,    15.5/-,           -/-/-,            -/-
  3,      任丘,     09:28,     09:35,      07分,        95,         0,    23.5/-,           -/-/-,            -/-
  4,      肃宁,     10:17,     10:29,      12分,       144,         0,    28.5/-,           -/-/-,            -/-
  5,      衡水,     11:27,     11:27,      00分,       214,         0,    41.5/-,           -/-/-,            -/-
