   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,张家口南,         -,     09:58,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      宣化,     10:20,     10:23,       3分,        22,        25,       -/-,           -/-/-,          9/11
  3,   下花园,     10:43,     10:55,      12分,        45,        50,       -/-,           -/-/-,       11/14.5
  4,      沙城,     11:20,     11:22,       2分,        82,        75,       -/-,           -/-/-,     12.5/20.5
  5,      官厅,     11:44,     11:46,       2分,       106,        94,       -/-,           -/-/-,     15.5/23.5
  6,   三家店,     13:03,     13:05,       2分,       185,       159,       -/-,           -/-/-,     23.5/36.5
  7,   北京西,     13:46,     14:11,      25分,       228,       190,       -/-,           -/-/-,     28.5/44.5
  8,   廊坊北,     14:52,     14:54,       2分,       294,       254,       -/-,           -/-/-,     40.5/60.5
  9,   天津西,     15:41,     15:44,       3分,       343,       328,       -/-,           -/-/-,     50.5/77.5
 10,      静海,     16:11,     16:13,       2分,       373,       371,       -/-,           -/-/-,     53.5/83.5
 11,      沧州,     16:55,     16:58,       3分,       417,       444,       -/-,           -/-/-,    64.5/100.5
 12,      东光,     17:33,     17:35,       2分,       455,       483,       -/-,           -/-/-,        69/107
 13,      德州,     18:20,     18:50,      30分,       502,       557,       -/-,           -/-/-,        78/123
 14,      衡水,     19:39,     19:45,       6分,       581,       619,       -/-,           -/-/-,        86/136
 15,      辛集,     20:16,     20:18,       2分,       618,       666,       -/-,           -/-/-,        91/141
 16,石家庄北,     21:19,         -,           ,       681,       751,       -/-,           -/-/-,       102/159
