   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      上海,         -,     19:40,         -,         -,         -,         -,               -,              -
  2,      苏州,     20:25,     20:28,      03分,        45,         0,    14.5/-,      60.5/63/69,       90.5/102
  3,      无锡,     21:10,     21:14,      04分,        90,         0,    19.5/-,      65.5/68/74,       99.5/113
  4,      常州,     21:35,     21:38,      03分,       115,         0,    24.5/-,      70.5/74/80,      108.5/123
  5,      南京,     22:50,     22:59,      09分,       190,         0,    46.5/-,     92.5/97/105,      140.5/159
  6,      蚌埠,     00:31,     00:34,      03分,       291,         0,      69/-,     123/128/139,        186/210
  7,      徐州,     02:03,     02:09,      06分,       383,         0,      91/-,     158/165/179,        243/274
  8,      郑州,     04:53,     05:00,      07分,       553,         0,   128.5/-,   222.5/231/252,      348.5/393
  9,      洛阳,     06:21,     06:24,      03分,       641,         0,   141.5/-,   244.5/254/276,      381.5/430
 10,      西安,     11:00,     11:10,      10分,       920,         0,   180.5/-,   310.5/323/351,      488.5/551
 11,      宝鸡,     12:44,     12:49,      05分,      1024,         0,     198/-,     337/350/381,        530/597
 12,      天水,     14:24,     14:35,      11分,      1124,         0,     206/-,     353/367/399,        556/627
 13,      兰州,     18:24,     18:39,      15分,      1364,         0,     240/-,     408/424/461,        640/721
 14,      西宁,     20:17,     20:25,      08分,      1477,         0,   254.5/-,   434.5/452/491,      687.5/775
 15,    张掖西,     22:34,     22:38,      04分,      1614,         0,   278.5/-,   471.5/490/532,      747.5/842
 16,    嘉峪关,     00:20,     00:30,      10分,      1720,         0,   293.5/-,   497.5/517/562,      786.5/886
 17,      柳园,     03:12,     03:18,      06分,      1892,         0,     317/-,     536/557/605,        849/957
 18,      哈密,     06:08,     06:18,      10分,      2068,         0,     341/-,     576/598/650,       911/1026
 19,    鄯善北,     08:17,     08:20,      03分,      2197,         0,     365/-,     615/639/694,       976/1100
 20,  吐鲁番北,     09:02,     09:05,      03分,      2242,         0,     372/-,     627/651/708,       994/1120
 21,乌鲁木齐南,     10:22,     10:37,      15分,      2322,         0,   376.5/-,   635.5/660/717,    1008.5/1136
 22,  乌鲁木齐,     10:55,     10:55,      00分,      2355,         0,   376.5/-,   635.5/660/717,    1008.5/1136
