   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      兰州,         -,     14:35,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      定西,     15:55,     15:58,       3分,        80,       118,       -/-,           -/-/-,           -/-
  3,      陇西,     16:50,     16:55,       5分,       135,       202,       -/-,           -/-/-,           -/-
  4,      甘谷,     17:43,     17:45,       2分,       188,       281,       -/-,           -/-/-,           -/-
  5,      天水,     18:55,     19:03,       8分,       260,       348,       -/-,97.5/102.5/105.5,           -/-
  6,      宝鸡,     21:37,     21:45,       8分,       422,       503,       -/-,           -/-/-,           -/-
  7,      西安,     23:15,     23:27,      12分,       520,       676,       -/-,           -/-/-,           -/-
  8,      洛阳,     04:00,     04:03,       3分,       805,      1063,       -/-,           -/-/-,           -/-
  9,      郑州,     05:24,     05:33,       9分,       889,      1187,       -/-,           -/-/-,           -/-
 10,      开封,     06:09,     06:13,       4分,       934,      1259,       -/-,           -/-/-,           -/-
 11,      徐州,     08:33,     08:40,       7分,      1078,      1536,       -/-,           -/-/-,           -/-
 12,      蚌埠,     10:00,     10:03,       3分,      1165,      1700,       -/-,     337/349/361,         198/-
 13,      南京,     11:36,     11:42,       6分,      1261,      1884,       -/-,     363/375/388,           -/-
 14,      无锡,     13:01,     13:05,       4分,      1346,      2059,       -/-,           -/-/-,           -/-
 15,      苏州,     13:27,     13:31,       4分,      1372,      2101,       -/-,           -/-/-,           -/-
 16,      上海,     14:21,         -,           ,      1426,      2185,       -/-,     408/421/436,           -/-
