   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      广州,         -,     22:02,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      长沙,     05:18,     05:30,      12分,       436,         0,      98/-,     171/178/193,        307/346
  3,      岳阳,     06:48,     06:52,      04分,       526,         0,     112/-,     194/202/219,        357/403
  4,      汉口,     09:12,     09:46,      34分,       670,         0,   138.5/-,   238.5/248/270,      436.5/492
  5,    襄阳东,     12:16,     12:25,      09分,       854,         0,   168.5/-,   288.5/300/326,      524.5/591
  6,      安康,     16:08,     16:14,      06分,      1086,         0,     201/-,     343/357/387,        628/708
  7,      万源,     18:05,     18:07,      02分,      1203,         0,     217/-,     370/383/418,        667/752
  8,      达州,     19:43,     19:50,      07分,      1301,         0,     229/-,     389/404/439,        694/782
  9,      营山,     20:41,     20:43,      02分,      1359,         0,       0/-,           0/0/0,            0/0
 10,      遂宁,     21:47,     21:50,      03分,      1425,         0,     271/-,     466/484/526,        798/899
 11,      成都,     23:09,     23:09,      00分,      1507,         0,   277.5/-,   480.5/499/541,     840.5/947
