   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      张掖,         -,     17:02,         -,         -,         -,         -,               -,              -
  2,      山丹,     17:29,     17:31,      02分,        27,         0,      11/-,           -/-/-,            -/-
  3,      金昌,     18:42,     18:44,      02分,       100,         0,    24.5/-,           -/-/-,            -/-
  4,      武威,     19:24,     19:28,      04分,       142,         0,    40.5/-,           -/-/-,            -/-
  5,    武威南,     19:43,     19:45,      02分,       161,         0,    40.5/-,           -/-/-,            -/-
  6,      古浪,     20:11,     20:13,      02分,       189,         0,    46.5/-,           -/-/-,            -/-
  7,      天祝,     20:59,     21:01,      02分,       237,         0,    62.5/-,           -/-/-,            -/-
  8,      永登,     21:26,     21:28,      02分,       264,         0,    64.5/-,           -/-/-,            -/-
  9,    兰州西,     22:38,     22:40,      02分,       336,         0,      75/-,           -/-/-,            -/-
 10,      兰州,     22:52,     22:52,      00分,       350,         0,      75/-,           -/-/-,            -/-
