   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    深圳东,         -,     11:08,         -,         -,         -,         -,               -,              -
  2,    东莞东,     11:40,     11:47,      07分,        32,         0,      11/-,        57/60/65,        86.5/98
  3,      惠州,     12:29,     12:34,      05分,        81,         0,    16.5/-,      62.5/65/71,       96.5/109
  4,      龙川,     14:17,     14:23,      06分,       189,         0,    41.5/-,      87.5/91/99,      132.5/150
  5,      赣州,     16:57,     17:03,      06分,       349,         0,      72/-,     129/134/146,        197/222
  6,      泰和,     18:35,     18:40,      05分,       447,         0,      91/-,     158/165/179,        243/274
  7,      吉安,     19:05,     19:13,      08分,       477,         0,      93/-,     163/170/184,        251/283
  8,      向塘,     21:05,     21:29,      24分,       597,         0,     115/-,     200/208/226,        312/352
  9,      九江,     23:11,     23:17,      06分,       723,         0,   135.5/-,   232.5/242/263,      360.5/406
 10,      麻城,     01:18,     01:21,      03分,       850,         0,   156.5/-,   268.5/279/303,      422.5/476
 11,      阜阳,     03:20,     03:45,      25分,       972,         0,   180.5/-,   310.5/323/351,      488.5/551
 12,      菏泽,     06:02,     06:05,      03分,      1134,         0,     206/-,     353/367/399,        556/627
 13,      聊城,     07:14,     07:21,      07分,      1206,         0,     217/-,     370/385/418,        585/659
 14,      衡水,     08:40,     08:46,      06分,      1292,         0,     236/-,     399/415/451,        629/709
 15,  张家口南,     14:22,     14:28,      06分,       194,         0,   268.5/-,   455.5/473/514,      718.5/810
 16,    集宁南,     16:16,     16:25,      09分,       308,         0,   285.5/-,   483.5/502/546,      761.5/858
 17,呼和浩特东,     17:33,     17:49,      16分,       385,         0,   293.5/-,   497.5/517/562,      786.5/886
 18,    包头东,     19:07,     19:11,      04分,       479,         0,   302.5/-,   513.5/534/580,      814.5/918
 19,      包头,     19:28,     19:28,      00分,      1940,         0,   302.5/-,   513.5/534/580,      814.5/918
