   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      厦门,         -,     13:50,         -,         -,         -,         -,               -,              -
  2,      龙岩,     16:13,     16:17,      04分,       143,         0,       0/-,           0/0/0,            0/0
  3,      赣州,     18:27,     18:46,      19分,       277,         0,       0/-,           0/0/0,            0/0
  4,      吉安,     20:37,     20:43,      06分,       407,         0,       0/-,           0/0/0,            0/0
  5,    南昌西,     22:45,     22:54,      09分,       535,         0,       0/-,           0/0/0,            0/0
  6,      九江,     23:58,     00:02,      04分,       608,         0,       0/-,           0/0/0,            0/0
  7,      阜阳,     03:56,     04:04,      08分,      -594,         0,       0/-,           0/0/0,            0/0
  8,      菏泽,     06:18,     06:20,      02分,      -452,         0,       0/-,           0/0/0,            0/0
  9,      衡水,     08:50,     08:54,      04分,      1140,         0,       0/-,           0/0/0,            0/0
 10,      黄村,     10:50,     10:54,      04分,      -180,         0,     251/-,     426/443/481,        673/758
 11,  张家口南,     14:48,     14:54,      06分,        58,         0,   263.5/-,   446.5/464/504,      704.5/794
 12,    集宁南,     17:33,     17:39,      06分,       223,         0,   278.5/-,   471.5/490/532,      747.5/842
 13,呼和浩特东,     19:02,     19:23,      21分,       312,         0,   290.5/-,   491.5/511/555,      775.5/874
 14,    包头东,     21:21,     21:25,      04分,       451,         0,   299.5/-,   507.5/527/573,      802.5/904
 15,      包头,     21:42,     21:42,      00分,       472,         0,   302.5/-,   513.5/534/580,      814.5/918
