   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京西,         -,     17:54,         -,         -,         -,         -,               -,              -
  2,    石家庄,     20:18,     20:24,      06分,       144,         0,    43.5/-,     89.5/93/101,      135.5/153
  3,      郑州,     23:47,     23:53,      06分,       353,         0,      93/-,     163/170/184,        251/283
  4,      武昌,     04:27,     04:33,      06分,       633,         0,   152.5/-,   261.5/272/296,      409.5/462
  5,      岳阳,     06:31,     06:34,      03分,       757,         0,   173.5/-,   296.5/308/335,      464.5/524
  6,      长沙,     07:55,     08:07,      12分,       841,         0,   189.5/-,   322.5/335/364,      504.5/569
  7,      郴州,     11:36,     11:39,      03分,      1062,         0,     217/-,     370/383/418,        585/659
  8,    韶关东,     13:16,     13:20,      04分,      1162,         0,     229/-,     389/404/439,        658/742
  9,      广州,     15:42,     16:02,      20分,      1308,         0,     251/-,     426/443/481,        750/845
 10,      佛山,     16:25,     16:33,      08分,      1351,         0,       0/-,           0/0/0,            0/0
 11,      肇庆,     17:38,     17:41,      03分,      1424,         0,       0/-,           0/0/0,            0/0
 12,      茂名,     20:25,     20:31,      06分,      1591,         0,       0/-,           0/0/0,            0/0
 13,    湛江西,     21:52,     21:55,      03分,      1678,         0,       0/-,           0/0/0,            0/0
 14,      徐闻,     00:21,     00:26,      05分,      1827,         0,       0/-,           0/0/0,            0/0
 15,      海口,     04:34,     04:54,      20分,      2080,         0,       0/-,           0/0/0,            0/0
 16,      东方,     06:58,     07:04,      06分,      2224,         0,       0/-,           0/0/0,            0/0
 17,      三亚,     08:50,     08:50,      00分,      2336,         0,       0/-,           0/0/0,            0/0
