   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      三亚,         -,     06:30,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      海口,     10:49,     11:20,      31分,       259,       140,       -/-, 43.5/51.5/55.5,        -/-
  3,   茂名东,     16:54,     17:01,       7分,       624,       295,       -/-,  89.5/94.5/97.5,        -/-
  4,      肇庆,     20:40,     20:45,       5分,       850,       536,       -/-,     133/138/142,       -/-
  5,      佛山,     22:06,     22:09,       3分,       936,       722,       -/-,     171/176/182,       -/-
  6,      广州,     22:44,     23:02,      18分,       974,      1083,       -/-,273.5/278.5/284.5,           -/-
  7,   韶关东,     01:20,     01:23,       3分,      1130,      1306,       -/-,280.5/289.5/299.5,       -/-
  8,      衡阳,     04:47,     05:07,      20分,      1337,      1426,       -/-,296.5/306.5/317.5,      -/-
  9,   井冈山,     07:17,     07:25,       8分,      1487,      1542,       -/-,310.5/321.5/331.5,       -/-
 10,      吉安,     08:22,     08:30,       8分,      1552,      1646,       -/-,     328/339/351,       -/-
 11,      九江,     12:25,     12:31,       6分,      1795,      1710,       -/-,     337/349/361,       -/-
 12,      阜阳,     16:27,     17:02,      35分,      2037,      1815,       -/-,     353/365/377,       -/-
 13,      毫州,     17:58,     18:03,       5分,      2128,      1971,       -/-,     381/393/407,       -/-
 14,   商丘南,     18:37,     18:40,       3分,      2167,      2123,       -/-,     399/414/428,        -/-
 15,      菏泽,     19:33,     19:35,       2分,      2223,      2250,       -/-,     414/429/444,       -/-
 16,      聊城,     20:42,     20:45,       3分,      2292,      2392,       -/-,434.5/449.5/464.5,      -/-
 17,      衡水,     22:17,     22:27,      10分,      2387,      2515,       -/-,455.5/472.5/487.5,      -/-
 18,      任丘,     23:38,     23:44,       6分,      2468,      2688,       -/-,483.5/499.5/516.5,      -/-
 19,      天津,     01:41,     01:49,       8分,      1151,      2822,       -/-,491.5/507.5/525.5,      -/-
 20,   秦皇岛,     05:26,     05:30,       4分,      1376,      2872,       -/-,497.5/515.5/533.5,       -/-
 21,   山海关,     05:54,     06:00,       6分,      1404,      2978,       -/-,513.5/531.5/549.5,       -/-
 22,   锦州南,     07:15,     07:23,       8分,      1485,      3117,       -/-,529.5/547.5/566.5,       -/-
 23,   沈阳北,     09:07,     09:13,       6分,      1597,      3184,       -/-,560.5/592.5/623.5,       -/-
 24,      四平,     10:43,     10:45,       2分,      1693,      3422,       -/-,     666/685/706,       -/-
 25,      长春,     11:43,         -,           ,      1753,      4613,       -/-,     666/685/706,      -/-
