   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      郑州,         -,     16:41,         -,         -,         -,         -,               -,              -
  2,      许昌,     17:23,     17:29,      06分,        42,         0,    14.5/-,      60.5/63/69,       90.5/102
  3,      漯河,     18:02,     18:05,      03分,        81,         0,    21.5/-,      67.5/71/77,      102.5/116
  4,    驻马店,     18:37,     18:40,      03分,       116,         0,    32.5/-,      78.5/82/89,      118.5/134
  5,      信阳,     19:33,     19:36,      03分,       172,         0,    46.5/-,     92.5/97/105,      140.5/159
  6,      武昌,     21:48,     22:01,      13分,       307,         0,      75/-,     133/139/151,        205/231
  7,      长沙,     01:19,     01:27,      08分,       518,         0,     115/-,     200/208/226,        312/352
  8,      郴州,     04:56,     05:02,      06分,       735,         0,   152.5/-,   261.5/272/296,      409.5/462
  9,    韶关东,     06:39,     06:51,      12分,       838,         0,   168.5/-,   288.5/300/326,      482.5/544
 10,      广州,     09:22,     09:22,      00分,      1001,         0,     192/-,     328/341/371,        574/647
