   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    广州东,         -,     19:50,         -,         -,         -,         -,               -,              -
  2,    韶关东,     22:15,     22:21,      06分,       145,         0,    37.5/-,      83.5/87/95,      120.5/136
  3,      郴州,     23:57,     00:01,      04分,       247,         0,    54.5/-,   100.5/105/114,      195.5/221
  4,      衡阳,     01:41,     01:45,      04分,       351,         0,      75/-,     133/139/151,        255/288
  5,      株洲,     03:07,     03:11,      04分,       437,         0,      91/-,     158/165/179,        301/339
  6,      长沙,     03:48,     04:00,      12分,       478,         0,      98/-,     171/178/193,        307/346
  7,      咸宁,     06:37,     06:39,      02分,       647,         0,   128.5/-,   222.5/231/252,      402.5/454
  8,      武昌,     07:26,     07:42,      16分,       696,         0,   138.5/-,   238.5/248/270,      425.5/480
  9,      信阳,     09:51,     09:54,      03分,       841,         0,   163.5/-,   280.5/292/317,      500.5/564
 10,      漯河,     11:13,     11:16,      03分,       923,         0,   177.5/-,   304.5/317/344,      550.5/620
 11,      许昌,     11:46,     11:49,      03分,       956,         0,   180.5/-,   310.5/323/351,      561.5/633
 12,      郑州,     12:35,     12:56,      21分,      1005,         0,     192/-,     328/341/371,        574/647
 13,      新乡,     13:42,     13:47,      05分,      1072,         0,     198/-,     337/350/381,        602/678
 14,      安阳,     14:44,     14:48,      04分,      1134,         0,     206/-,     353/367/399,        628/708
 15,      邯郸,     15:20,     15:26,      06分,      1170,         0,     213/-,     363/377/410,        640/721
 16,      邢台,     15:53,     15:55,      02分,      1203,         0,     217/-,     370/385/418,        656/739
 17,    石家庄,     16:51,     16:57,      06分,      1261,         0,     229/-,     389/404/439,        682/769
 18,      保定,     18:12,     18:18,      06分,      1342,         0,     240/-,     408/424/461,        708/798
 19,      天津,     20:32,     20:40,      08分,      1482,         0,     251/-,     426/443/481,        765/862
 20,    沈阳北,     02:27,     02:33,      06分,      1837,         0,   302.5/-,   513.5/534/580,     913.5/1029
 21,  哈尔滨西,     06:49,     07:22,      33分,      2099,         0,     348/-,     586/609/662,      1015/1144
 22,    哈尔滨,     07:32,     07:32,      00分,      2142,         0,     348/-,     586/609/662,      1015/1144
