   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      西安,         -,     19:27,         -,         -,         -,         -,               -,              -
  2,    蒲城东,     20:35,     20:37,      02分,        68,         0,    16.5/-,      62.5/65/71,       96.5/109
  3,      延安,     22:36,     22:40,      04分,       189,         0,    50.5/-,    96.5/101/109,      146.5/165
  4,  石家庄北,     05:45,     05:56,      11分,       618,         0,   128.5/-,   222.5/231/252,      348.5/393
  5,    北京西,     08:27,     08:27,      00分,       780,         0,   156.5/-,   268.5/279/303,      422.5/476
