   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      兰州,         -,     15:17,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      陇西,     17:28,     17:32,       4分,       131,       202,       -/-,  78.5/83.5/86.5,        32.5/-
  3,      天水,     19:26,     19:36,      10分,       249,       348,       -/-,97.5/102.5/105.5,        51.5/-
  4,      宝鸡,     22:09,     22:17,       8分,       412,       503,       -/-,     129/132/136,          72/-
  5,      西安,     23:47,     00:07,      20分,       510,       676,       -/-,     163/168/174,          93/-
  6,      洛阳,     04:38,     04:44,       6分,       801,      1063,       -/-,238.5/246.5/255.5,       138.5/-
  7,平顶山西,     06:41,     06:47,       6分,       924,      1197,       -/-,254.5/263.5/272.5,       148.5/-
  8,      信阳,     09:30,     09:32,       2分,      1093,      1466,       -/-,304.5/315.5/325.5,       177.5/-
  9,      武昌,     11:47,     12:09,      22分,      1230,      1700,       -/-,     337/349/361,         198/-
 10,      南昌,     15:17,     15:34,      17分,      1440,      2481,       -/-,     389/403/416,         229/-
 11,      抚州,     16:28,     16:31,       3分,      1511,      2582,       -/-,     408/421/436,         240/-
 12,   三明北,     18:30,     18:34,       4分,      1633,      2833,       -/-,434.5/449.5/464.5,       254.5/-
 13,      莆田,     20:16,     20:32,      16分,      1739,      3029,       -/-,463.5/480.5/496.5,       273.5/-
 14,      厦门,     22:03,         -,           ,      1846,      2774,       -/-,   491.5/541/566,       290.5/-
