   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      宁波,         -,     21:13,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      余姚,     21:52,     21:55,       3分,        39,        48,       -/-,        57/62/65,          11/-
  3,      绍兴,     22:40,     22:43,       3分,        87,       108,       -/-,  62.5/67.5/70.5,        16.5/-
  4,      金华,     00:39,     00:45,       6分,       206,       316,       -/-, 92.5/97.5/100.5,        46.5/-
  5,      鹰潭,     03:17,     03:23,       6分,       364,       629,       -/-,     152/156/161,          86/-
  6,      萍乡,     06:13,     06:18,       5分,       540,      1000,       -/-,           -/-/-,           -/-
  7,      株洲,     07:01,     07:20,      19分,       588,      1081,       -/-,           -/-/-,           -/-
  8,      湘潭,     07:46,     07:50,       4分,       633,      1107,       -/-,           -/-/-,           -/-
  9,      娄底,     08:56,     09:02,       6分,       703,      1206,       -/-,           -/-/-,           -/-
 10,      怀化,     13:31,     13:42,      11分,       978,      1521,       -/-,           -/-/-,           -/-
 11,      凯里,     17:17,     17:21,       4分,      1204,      1790,       -/-,           -/-/-,           -/-
 12,      贵阳,     19:47,     20:14,      27分,      1354,      1978,       -/-,     381/393/407,         224/-
 13,      安顺,     21:25,     21:31,       6分,      1452,      2075,       -/-,           -/-/-,           -/-
 14,   六盘水,     23:34,     23:45,      11分,      1581,      2227,       -/-,           -/-/-,           -/-
 15,      宣威,     01:18,     01:26,       8分,      1685,      2358,       -/-,           -/-/-,           -/-
 16,      曲靖,     02:30,     02:34,       4分,      1757,      2459,       -/-,           -/-/-,           -/-
 17,      昆明,     04:50,         -,           ,      1897,      2616,       -/-,463.5/480.5/496.5,       273.5/-
