   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京西,         -,     10:00,         -,         -,         -,         -,               -,              -
  2,      保定,     11:13,     11:19,      06分,        73,         0,    23.5/-,      69.5/73/79,      104.5/118
  3,  石家庄北,     12:42,     13:05,      23分,       162,         0,    43.5/-,     89.5/93/101,      135.5/153
  4,    阳泉北,     14:00,     14:04,      04分,       240,         0,    54.5/-,   100.5/105/114,      155.5/176
  5,    太原南,     15:03,     15:09,      06分,       303,         0,      75/-,     133/139/142,        205/231
  6,      吕梁,     16:36,     16:40,      04分,       396,         0,      93/-,     163/170/184,        251/283
  7,      绥德,     17:30,     17:36,      06分,       450,         0,     105/-,     184/191/208,        285/321
  8,      定边,     19:49,     19:51,      02分,       589,         0,   135.5/-,   232.5/242/263,      360.5/406
  9,      中卫,     22:30,     22:48,      18分,       750,         0,   156.5/-,   268.5/279/303,      422.5/476
 10,      武威,     02:10,     02:16,      06分,      -470,         0,   180.5/-,   310.5/323/351,      488.5/551
 11,      金昌,     02:49,     02:53,      04分,      -431,         0,   189.5/-,   322.5/335/364,      504.5/569
 12,      张掖,     04:31,     04:37,      06分,      -329,         0,     201/-,     343/357/387,        542/611
 13,      清水,     05:44,     05:48,      04分,      -256,         0,     217/-,     370/385/418,        585/659
 14,    嘉峪关,     06:41,     06:50,      09分,      -199,         0,     224/-,     381/396/430,        598/674
 15,      玉门,     07:59,     08:08,      09分,      -121,         0,     236/-,     399/415/451,        629/709
 16,      柳园,     09:48,     09:58,      10分,       -12,         0,     251/-,     426/443/481,        673/758
 17,      哈密,     12:48,     13:08,      20分,       168,         0,   273.5/-,   463.5/482/523,      734.5/828
 18,    鄯善北,     15:07,     15:29,      22分,       307,         0,   293.5/-,   497.5/517/562,      786.5/886
 19,  吐鲁番北,     16:11,     16:14,      03分,       371,         0,   299.5/-,   507.5/527/573,      802.5/904
 20,乌鲁木齐南,     17:31,     17:46,      15分,       451,         0,   313.5/-,   529.5/550/598,      834.5/940
 21,  乌鲁木齐,     18:04,     18:04,      00分,       484,         0,   313.5/-,   529.5/550/598,      834.5/940
