   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京西,         -,     12:34,         -,         -,         -,         -,               -,              -
  2,    石家庄,     14:58,     15:08,      10分,       144,         0,    43.5/-,     89.5/93/101,      135.5/153
  3,      新乡,     17:49,     17:52,      03分,       315,         0,      81/-,     144/150/163,        222/251
  4,      郑州,     18:38,     18:47,      09分,       364,         0,      93/-,     163/170/184,        251/283
  5,      信阳,     21:13,     21:15,      02分,       519,         0,   128.5/-,   222.5/231/252,      348.5/393
  6,      武昌,     23:27,     23:33,      06分,       653,         0,   152.5/-,   261.5/272/296,      409.5/462
  7,      岳阳,     01:31,     01:34,      03分,       777,         0,   173.5/-,   296.5/308/335,      464.5/524
  8,      长沙,     02:55,     03:01,      06分,       861,         0,   189.5/-,   322.5/335/364,      504.5/569
  9,      湘潭,     03:49,     03:52,      03分,       915,         0,     198/-,     337/350/381,        530/597
 10,      娄底,     04:59,     05:05,      06分,       985,         0,     201/-,     343/357/387,        542/611
 11,  冷水江东,     06:01,     06:04,      03分,      1047,         0,     206/-,     353/367/399,        556/627
 12,      怀化,     09:08,     09:16,      08分,      1234,         0,     229/-,     389/404/439,        613/691
 13,      玉屏,     10:50,     10:54,      04分,      1336,         0,     240/-,     408/424/461,        640/721
 14,      凯里,     12:55,     12:59,      04分,      1461,         0,   254.5/-, 434.5/449.5/491,      687.5/775
 15,      贵阳,     15:25,     15:37,      12分,      1611,         0,   268.5/-,   455.5/473/514,      718.5/810
 16,    六盘水,     18:48,     18:54,      06分,      1814,         0,   290.5/-,   491.5/511/555,      775.5/874
 17,      宣威,     20:16,     20:22,      06分,      1902,         0,   299.5/-,   507.5/527/573,      802.5/904
 18,      曲靖,     21:10,     21:17,      07分,      1956,         0,   302.5/-,   513.5/534/580,      814.5/918
 19,      昆明,     22:34,     22:34,      00分,      2040,         0,     317/-,     536/555/605,        849/957
