   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,   重庆北,         -,     14:33,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      恩施,     17:21,     17:30,       9分,       168,       562,       -/-,           -/-/-,           -/-
  3,   宜昌东,     19:29,     19:36,       7分,       296,       776,       -/-,           -/-/-,           -/-
  4,      武昌,     22:48,     23:17,      29分,       495,      1148,       -/-,     200/206/214,           -/-
  5,      鹰潭,     03:48,     03:56,       8分,       795,      1712,       -/-,   288.5/318/332,           -/-
  6,      金华,     06:21,     06:27,       6分,       948,      1960,       -/-,           -/-/-,           -/-
  7,      义乌,     06:53,     06:56,       3分,       980,      2008,       -/-,           -/-/-,           -/-
  8,   杭州东,     07:58,     08:04,       6分,      1045,      2153,       -/-,     363/375/388,           -/-
  9,      嘉兴,     08:52,     08:55,       3分,      1099,      2240,       -/-,           -/-/-,           -/-
 10,   上海南,     09:59,         -,           ,      1166,      2037,       -/-,     389/428/448,           -/-
