   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,   三明北,         -,     14:45,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      泰宁,     15:25,     15:28,      03分,        40,         0,    15.5/-,      61.5/64/70,       92.5/105
  3,      抚州,     16:40,     16:45,      05分,       115,         0,    40.5/-,      86.5/90/98,      129.5/146
  4,    南昌西,     17:31,     17:43,      12分,       166,         0,    51.5/-,    97.5/102/110,      149.5/169
  5,      九江,     18:47,     19:01,      14分,       242,         0,      72/-,     129/134/146,        197/222
  6,      阜阳,     22:59,     23:05,      06分,       494,         0,     124/-,     215/224/243,        336/379
  7,      菏泽,     01:23,     01:26,      03分,       638,         0,   152.5/-,   261.5/272/296,      409.5/462
  8,      聊城,     02:33,     02:36,      03分,       708,         0,   168.5/-,   288.5/300/326,      450.5/508
  9,      衡水,     03:55,     04:01,      06分,       790,         0,   180.5/-,   310.5/323/351,      488.5/551
 10,      任丘,     04:55,     04:58,      03分,       850,         0,     198/-,     337/350/381,        530/597
 11,      北京,     06:28,     06:28,      00分,       943,         0,     206/-,     353/367/398,       556/627
