   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  乌鲁木齐,         -,     17:14,         -,         -,         -,         -,               -,              -
  2,乌鲁木齐南,     17:29,     18:00,      31分,        15,         0,       8/-,        54/57/61,          78/88
  3,    吐鲁番,     19:33,     19:39,      06分,       139,         0,    23.5/-,      69.5/73/79,      104.5/118
  4,      鄯善,     20:51,     21:05,      14分,       217,         0,    43.5/-,     89.5/93/101,      135.5/153
  5,      哈密,     23:16,     23:42,      26分,       362,         0,      78/-,     139/145/157,        214/242
  6,      柳园,     02:32,     02:45,      13分,       558,         0,     115/-,     200/208/226,        312/352
  7,    嘉峪关,     05:25,     05:34,      09分,       731,         0,   148.5/-,   254.5/265/288,      398.5/449
  8,      张掖,     07:28,     07:35,      07分,       854,         0,   168.5/-,   288.5/300/326,      450.5/508
  9,      金昌,     09:10,     09:13,      03分,       956,         0,   189.5/-,   322.5/335/364,      504.5/569
 10,      武威,     10:13,     10:19,      06分,      1019,         0,     192/-,     328/341/371,        515/580
 11,      中卫,     14:54,     15:11,      17分,      1300,         0,     213/-,     363/377/410,        572/645
 12,      银川,     17:26,     17:34,      08分,      1452,         0,     229/-,     389/404/439,        613/691
 13,    石嘴山,     18:10,     18:15,      05分,      1496,         0,     236/-,     399/415/451,        629/709
 14,      惠农,     18:53,     19:03,      10分,      1539,         0,     240/-,     408/424/461,        640/721
 15,      乌海,     19:36,     19:40,      04分,      1582,         0,     243/-,     414/430/468,        654/737
 16,      临河,     21:13,     21:19,      06分,      1679,         0,   254.5/-,   434.5/452/491,      687.5/775
 17,      包头,     23:34,     23:53,      19分,      1820,         0,   273.5/-,   463.5/482/523,      734.5/828
 18,呼和浩特东,     01:41,     02:15,      34分,      1947,         0,   285.5/-,   483.5/502/546,      761.5/858
 19,    集宁南,     03:43,     03:59,      16分,      2069,         0,   293.5/-,   497.5/517/562,      786.5/886
 20,  张家口南,     06:13,     06:19,      06分,      2219,         0,   313.5/-,   529.5/550/598,      834.5/940
 21,      沙城,     07:20,     07:23,      03分,      2286,         0,     317/-,     536/557/605,        849/957
 22,      北京,     09:39,     09:39,      00分,      2425,         0,     323/-,     546/567/616,        863/972
