   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      长春,         -,     07:00,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      四平,     07:58,     08:01,       3分,        58,       115,       -/-,  64.5/69.5/72.5,    97.5/103.5
  3,      铁岭,     08:56,     08:59,       3分,       116,       233,    37.5/-,  83.5/88.5/91.5,   125.5/131.5
  4,    沈阳北,     09:48,     10:02,      14分,       168,       300,    43.5/-,  89.5/94.5/97.5,   135.5/141.5
  5,      沈阳,     10:09,     10:19,      10分,       189,       303,   135.5/-,232.5/240.5/247.5,   360.5/377.5
  6,      锦州,     13:01,     13:11,      10分,       361,       545,       -/-,           -/-/-,           -/-
  7,   葫芦岛,     13:44,     13:46,       2分,       404,       595,   136.5/-,233.5/241.5/248.5,   361.5/378.5
  8,      兴城,     14:02,     14:04,       2分,       422,       729,   137.5/-,234.5/242.5/249.5,   362.5/379.5
  9,      绥中,     14:35,     14:37,       2分,       455,       893,       -/-,           -/-/-,           -/-
 10,   山海关,     15:24,     15:30,       6分,       504,       729,   138.5/-,235.5/243.5/250.5,   363.5/380.5
 11,   北京西,     18:43,         -,           ,       703,      1048,   139.5/-,236.5/244.5/251.5,   364.5/381.5
