   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      济南,         -,     17:35,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      泰山,     18:21,     18:24,      03分,        46,         0,       0/-,           0/0/0,            0/0
  3,      兖州,     19:16,     19:19,      03分,       101,         0,    23.5/-,      69.5/73/79,      105.5/119
  4,      徐州,     21:00,     21:15,      15分,       205,         0,    46.5/-,     92.5/97/105,      140.5/159
  5,      蚌埠,     23:11,     23:16,      05分,       336,         0,      69/-,     123/128/139,        186/210
  6,      南京,     01:14,     01:29,      15分,       459,         0,      91/-,     158/165/179,        243/274
  7,      镇江,     02:09,     02:12,      03分,       514,         0,      98/-,     171/178/193,        263/297
  8,      常州,     03:04,     03:09,      05分,       569,         0,     105/-,     184/191/208,        285/321
  9,      无锡,     03:36,     03:40,      04分,       601,         0,     112/-,     194/202/219,        301/339
 10,      苏州,     04:08,     04:11,      03分,       633,         0,     115/-,     200/208/226,        312/352
 11,    上海南,     05:50,     06:21,      31分,       735,         0,   128.5/-,   222.5/231/252,      348.5/393
 12,      嘉兴,     07:03,     07:06,      03分,       808,         0,   138.5/-,   238.5/248/270,      372.5/420
 13,      海宁,     07:28,     07:31,      03分,       833,         0,   138.5/-,   238.5/248/270,      372.5/420
 14,    杭州东,     08:18,     08:24,      06分,       883,         0,   141.5/-,   244.5/254/276,      381.5/430
 15,      绍兴,     09:05,     09:08,      03分,       930,         0,   152.5/-,   261.5/272/296,      409.5/462
 16,      上虞,     09:31,     09:34,      03分,       956,         0,   152.5/-,   261.5/272/296,      409.5/462
 17,      余姚,     10:03,     10:06,      03分,       988,         0,   156.5/-,   268.5/279/303,      422.5/476
 18,      宁波,     11:05,     11:05,      00分,      1050,         0,   163.5/-,   280.5/292/317,      438.5/494
 19,      宿州,     22:08,     22:11,      03分,       273,         0,   164.5/-,   281.5/293/318,     439.5/495
