   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      北京,         -,     12:00,         -,         -,         -,         -,               -,              -
  2,    唐山北,     13:23,     13:26,      03分,        83,         0,    23.5/-,      69.5/73/79,      105.5/119
  3,      昌黎,     14:51,     14:54,      03分,       171,         0,    40.5/-,      86.5/90/98,      129.5/146
  4,    秦皇岛,     15:27,     15:43,      16分,       207,         0,    43.5/-,     89.5/93/101,      135.5/153
  5,    山海关,     16:09,     16:15,      06分,       249,         0,    46.5/-,     92.5/97/105,      140.5/159
  6,      锦州,     18:12,     18:16,      04分,       372,         0,      72/-,     129/134/146,        197/222
  7,    沈阳北,     20:45,     20:51,      06分,       525,         0,      98/-,     171/178/193,        263/297
  8,      铁岭,     21:26,     21:28,      02分,       566,         0,     105/-,     184/191/208,        285/321
  9,      四平,     22:34,     22:36,      02分,       634,         0,     119/-,     207/215/234,        324/365
 10,      长春,     23:39,     23:47,      08分,       699,         0,   135.5/-,   232.5/242/263,      360.5/406
 11,    哈尔滨,     01:57,     02:12,      15分,      -603,         0,   156.5/-,   268.5/279/303,      422.5/476
 12,      尚志,     03:42,     03:45,      03分,      -498,         0,   173.5/-,   296.5/308/335,      464.5/524
 13,    亚布力,     04:32,     04:35,      03分,      -448,         0,   177.5/-,   304.5/317/344,      476.5/537
 14,  横道河子,     05:25,     05:27,      02分,      -395,         0,   180.5/-,   310.5/323/351,      488.5/551
 15,      海林,     06:28,     06:30,      02分,      -332,         0,     192/-,     328/341/371,        515/580
 16,    牡丹江,     06:58,     06:58,      00分,      -302,         0,     192/-,     328/341/371,        515/580
