   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  齐齐哈尔,         -,     17:45,         -,         -,         -,         -,               -,              -
  2,      泰来,     19:34,     19:36,      02分,       109,         0,    18.5/-,      64.5/67/73,       97.5/110
  3,      镇赉,     20:17,     20:19,      02分,       152,         0,    28.5/-,      74.5/78/85,      112.5/127
  4,      白城,     20:49,     20:55,      06分,       184,         0,    32.5/-,      78.5/82/89,      118.5/134
  5,      开通,     22:08,     22:10,      02分,       263,         0,    46.5/-,     92.5/97/105,      140.5/159
  6,    太平川,     22:48,     22:50,      02分,       303,         0,    53.5/-,    99.5/104/113,      152.5/172
  7,      通辽,     00:24,     00:43,      19分,       399,         0,      69/-,     123/128/139,        186/210
  8,      锦州,     05:07,     05:28,      21分,       682,         0,     112/-,     194/202/219,        301/339
  9,    葫芦岛,     06:00,     06:03,      03分,       735,         0,     115/-,     200/208/226,        312/352
 10,    山海关,     07:26,     07:42,      16分,       821,         0,   135.5/-,   232.5/242/263,      360.5/406
 11,      唐山,     09:35,     09:37,      02分,       950,         0,   152.5/-,   261.5/272/296,      409.5/462
 12,      天津,     10:49,     10:57,      08分,      1024,         0,   163.5/-, 280.5/292/299.5,      438.5/494
 13,      北京,     12:22,     12:22,      00分,      1117,         0,   177.5/-,   304.5/317/344,      476.5/537
