   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    上海南,         -,     13:20,         -,         -,         -,         -,               -,              -
  2,      嘉兴,     14:06,     14:09,      03分,        46,         0,    12.5/-,      58.5/61/66,       89.5/101
  3,    杭州东,     15:11,     15:17,      06分,       111,         0,    24.5/-,      70.5/74/80,      108.5/123
  4,      义乌,     16:29,     16:32,      03分,       189,         0,    46.5/-,     92.5/97/105,      140.5/159
  5,      金华,     17:13,     17:19,      06分,       233,         0,    51.5/-,    97.5/102/110,      149.5/169
  6,      江山,     18:22,     18:25,      03分,       302,         0,      69/-,     123/128/139,        186/210
  7,      上饶,     19:23,     19:29,      06分,       363,         0,      78/-,     139/145/157,        214/242
  8,      鹰潭,     20:30,     20:43,      13分,       430,         0,       0/-,           0/0/0,            0/0
  9,      吉安,     23:33,     23:40,      07分,       613,         0,   128.5/-,   222.5/231/252,      348.5/393
 10,      赣州,     01:36,     01:55,      19分,       736,         0,   148.5/-,   254.5/265/288,      398.5/449
 11,      龙川,     04:52,     04:55,      03分,      -508,         0,   185.5/-,   314.5/327/355,      491.5/554
 12,      河源,     05:47,     05:49,      02分,      -453,         0,   197.5/-,   334.5/348/378,      521.5/588
 13,      惠州,     06:44,     06:47,      03分,      -396,         0,   201.5/-,   342.5/356/387,      535.5/604
 14,    东莞东,     07:31,     07:37,      06分,      -349,         0,     217/-,     366/380/413,        574/647
 15,      深圳,     08:15,     08:15,      00分,      1135,         0,     234/-,     391/406/442,        613/691
