   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      上海,         -,     15:32,         -,         -,         -,         -,               -,              -
  2,      苏州,     16:31,     16:35,      04分,        59,         0,    14.5/-,      60.5/63/69,       90.5/102
  3,      无锡,     17:00,     17:03,      03分,        88,         0,    19.5/-,      65.5/68/74,       99.5/113
  4,      常州,     17:26,     17:30,      04分,       114,         0,    24.5/-,      70.5/74/80,      108.5/123
  5,      南京,     18:47,     19:03,      16分,       195,         0,    46.5/-,     92.5/97/105,      140.5/159
  6,      蚌埠,     20:43,     20:48,      05分,       311,         0,      69/-,     123/128/139,        186/210
  7,      徐州,     22:17,     22:24,      07分,       405,         0,      91/-,     158/165/179,        243/274
  8,      商丘,     23:54,     23:57,      03分,       502,         0,     105/-,     184/191/208,        285/321
  9,      兰考,     00:46,     00:49,      03分,       554,         0,     115/-,     200/208/226,        312/352
 10,      开封,     01:17,     01:21,      04分,       585,         0,     119/-,     207/215/234,        324/365
 11,      郑州,     02:03,     02:10,      07分,       631,         0,   128.5/-,   222.5/231/252,      348.5/393
 12,      洛阳,     03:34,     03:37,      03分,       722,         0,   141.5/-,   244.5/254/276,      381.5/430
 13,      西安,     08:12,     08:24,      12分,      1000,         0,   180.5/-,   310.5/323/351,      488.5/551
 14,      杨陵,     09:11,     09:15,      04分,      1059,         0,   189.5/-,   322.5/335/364,      504.5/569
 15,      宝鸡,     10:12,     10:20,      08分,      1120,         0,     198/-,     337/350/381,        530/597
 16,      天水,     11:54,     12:02,      08分,      1222,         0,     206/-,     353/367/399,        556/627
 17,      陇西,     13:24,     13:28,      04分,      1312,         0,     224/-,     381/396/430,        598/674
 18,      兰州,     15:58,     15:58,      00分,      1466,         0,     240/-,     408/424/461,        640/721
