   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      泰州,         -,     15:35,         -,         -,         -,         -,               -,              -
  2,      扬州,     16:16,     16:22,      06分,        41,         0,    12.5/-,      58.5/61/66,        87.5/99
  3,      南京,     17:43,     17:57,      14分,       128,         0,    24.5/-,      70.5/74/80,      108.5/123
  4,    马鞍山,     19:07,     19:12,      05分,       212,         0,    40.5/-,      86.5/90/98,      129.5/146
  5,      芜湖,     19:49,     19:55,      06分,       254,         0,    43.5/-,     89.5/93/101,      135.5/153
  6,      宣城,     20:49,     20:52,      03分,       314,         0,    51.5/-,    97.5/102/110,      149.5/169
  7,    绩溪县,     22:45,     22:51,      06分,       430,         0,      69/-,     123/128/139,        186/210
  8,      黄山,     23:40,     23:44,      04分,       485,         0,      75/-,     133/139/151,        205/231
  9,    景德镇,     02:33,     02:39,      06分,       658,         0,      98/-,     171/178/193,        263/297
 10,      鹰潭,     04:58,     05:16,      18分,       803,         0,       0/-,           0/0/0,            0/0
 11,      新余,     07:19,     07:24,      05分,       944,         0,   141.5/-,   244.5/254/276,      381.5/430
 12,      萍乡,     08:32,     08:36,      04分,      1017,         0,   152.5/-,   261.5/272/296,      409.5/462
 13,      株洲,     09:23,     09:39,      16分,      1068,         0,   163.5/-,   280.5/292/317,      438.5/494
 14,      衡阳,     11:01,     11:07,      06分,      1166,         0,   173.5/-,   296.5/308/335,      464.5/524
 15,      郴州,     12:46,     12:49,      03分,      1271,         0,   189.5/-,   322.5/335/364,      504.5/569
 16,    韶关东,     14:26,     14:30,      04分,      1371,         0,     201/-,     343/357/387,        575/648
 17,      广州,     17:00,     17:00,      00分,      1525,         0,     224/-,     381/396/430,        667/752
