   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      长春,         -,     10:36,         -,         -,         -,         -,               -,              -
  2,      四平,     11:41,     11:44,      03分,        65,         0,    18.5/-,      64.5/67/73,       97.5/110
  3,      昌图,     12:13,     12:15,      02分,        97,         0,    24.5/-,      70.5/74/80,      108.5/123
  4,      铁岭,     12:54,     12:57,      03分,       138,         0,    37.5/-,      83.5/87/95,      125.5/142
  5,    沈阳北,     13:45,     14:09,      24分,       189,         0,    43.5/-,     89.5/93/101,      135.5/153
  6,    甘旗卡,     17:01,     17:06,      05分,       385,         0,      75/-,     133/139/151,        205/231
  7,      通辽,     18:03,     18:29,      26分,       447,         0,      81/-,     144/150/163,        222/251
  8,      开鲁,     19:40,     19:43,      03分,       544,         0,      93/-,     163/170/184,        251/283
  9,    查布嘎,     21:06,     21:09,      03分,       630,         0,     105/-,     184/191/208,        285/321
 10,      林东,     21:59,     22:02,      03分,       683,         0,     115/-,     200/208/226,        312/352
 11,      大板,     23:11,     23:23,      12分,       755,         0,     124/-,     215/224/243,        336/379
 12,      经棚,     02:25,     02:27,      02分,       949,         0,   138.5/-,   238.5/248/270,      372.5/420
 13,  桑根达来,     04:41,     04:49,      08分,      1085,         0,   156.5/-,   268.5/279/303,      422.5/476
 14,  正镶白旗,     06:06,     06:12,      06分,      1170,         0,   163.5/-,   280.5/292/317,      438.5/494
 15,      化德,     07:33,     07:36,      03分,      1257,         0,   177.5/-,   304.5/317/344,      476.5/537
 16,      商都,     08:22,     08:25,      03分,      1306,         0,   180.5/-,   310.5/323/351,      488.5/551
 17,    集宁南,     10:07,     10:27,      20分,      1411,         0,     192/-,     328/339/371,        515/580
 18,呼和浩特东,     11:50,     11:58,      08分,      1514,         0,     201/-,     343/357/387,        542/611
 19,      包头,     13:46,     14:07,      21分,      1630,         0,     217/-,     370/385/418,        585/659
 20,      临河,     16:21,     16:27,      06分,      1785,         0,     240/-,     408/424/461,        640/721
 21,      乌海,     17:57,     17:59,      02分,      1881,         0,     251/-,     426/443/481,        673/758
 22,      惠农,     18:37,     18:45,      08分,      1921,         0,     251/-,     426/443/481,        673/758
 23,    石嘴山,     19:18,     19:24,      06分,      1962,         0,   254.5/-,   434.5/452/491,      687.5/775
 24,      银川,     20:06,     20:15,      09分,      2010,         0,   263.5/-,   446.5/464/504,      704.5/794
 25,      中卫,     23:05,     23:20,      15分,      2189,         0,   273.5/-,   463.5/482/523,      734.5/828
 26,      武威,     02:37,     02:43,      06分,      2401,         0,   293.5/-,   497.5/517/562,      786.5/886
 27,      金昌,     03:20,     03:22,      02分,      2444,         0,   299.5/-,   507.5/527/573,      802.5/904
 28,      张掖,     05:03,     05:09,      06分,      2547,         0,   313.5/-,   529.5/550/598,      834.5/940
 29,    嘉峪关,     07:19,     07:28,      09分,      2683,         0,     328/-,     554/576/626,        879/990
 30,      柳园,     10:29,     10:39,      10分,      2873,         0,     352/-,     595/618/672,       940/1059
 31,      哈密,     13:34,     13:44,      10分,      3058,         0,     372/-,     627/651/708,       994/1120
 32,      鄯善,     16:02,     16:08,      06分,      3206,         0,   391.5/-,   659.5/685/745,    1045.5/1178
 33,    吐鲁番,     17:25,     17:37,      12分,      3289,         0,   402.5/-,   679.5/706/767,    1079.5/1216
 34,乌鲁木齐南,     19:04,     19:23,      19分,      3388,         0,   412.5/-,   694.5/721/784,    1098.5/1238
 35,  乌鲁木齐,     19:38,     19:38,      00分,      3422,         0,   412.5/-,   694.5/721/784,    1098.5/1238
