   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      宁波,         -,     17:52,         -,         -,         -,         -,               -,              -
  2,      余姚,     18:31,     18:34,      03分,        39,         0,      11/-,        57/60/65,        83.5/95
  3,      上虞,     18:59,     19:02,      03分,        67,         0,    12.5/-,      58.5/61/66,       89.5/101
  4,      绍兴,     19:26,     19:29,      03分,        94,         0,    16.5/-,      62.5/65/71,       96.5/109
  5,    杭州东,     20:19,     20:25,      06分,       147,         0,    24.5/-,      70.5/74/80,      108.5/123
  6,      海宁,     20:58,     21:01,      03分,       186,         0,    37.5/-,      83.5/87/95,      125.5/142
  7,      嘉兴,     21:19,     21:22,      03分,       207,         0,    40.5/-,      86.5/90/98,      129.5/146
  8,    上海南,     22:19,     22:40,      21分,       267,         0,    50.5/-,    96.5/101/109,      146.5/165
  9,      昆山,     23:32,     23:42,      10分,       340,         0,    54.5/-,   100.5/105/114,      155.5/176
 10,      苏州,     00:06,     00:10,      04分,       374,         0,    62.5/-,   110.5/115/125,      166.5/188
 11,      无锡,     00:38,     00:42,      04分,       406,         0,      69/-,     123/128/139,        186/210
 12,      常州,     01:09,     01:14,      05分,       437,         0,       0/-,           0/0/0,            0/0
 13,      南京,     02:39,     02:45,      06分,       527,         0,      91/-,     158/165/179,        243/274
 14,      徐州,     06:22,     06:30,      08分,       750,         0,   128.5/-,   222.5/231/252,      348.5/393
 15,      滕州,     07:34,     07:37,      03分,       822,         0,   138.5/-,   238.5/248/270,      372.5/420
 16,      兖州,     08:17,     08:20,      03分,       865,         0,   148.5/-,   254.5/265/288,      398.5/449
 17,      泰山,     09:16,     09:18,      02分,       924,         0,       0/-,           0/0/0,            0/0
 18,      济南,     10:14,     10:14,      00分,       982,         0,   163.5/-,   280.5/292/317,      438.5/494
