   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      广州,         -,     09:06,         -,         -,         -,         -,               -,              -
  2,    韶关东,     11:23,     11:28,      05分,       137,         0,    37.5/-,      83.5/87/95,      120.5/136
  3,      郴州,     13:03,     13:06,      03分,       237,         0,    53.5/-,    99.5/104/113,      195.5/221
  4,      衡阳,     14:46,     14:51,      05分,       340,         0,      75/-,     133/139/151,        255/288
  5,      株洲,     16:21,     16:40,      19分,       435,         0,      91/-,     158/165/179,        301/339
  6,      萍乡,     17:27,     17:33,      06分,       501,         0,      98/-,     171/178/193,        318/359
  7,      新余,     18:40,     18:46,      06分,       574,         0,     115/-,     200/208/226,        366/413
  8,      鹰潭,     20:50,     21:08,      18分,       704,         0,       0/-,           0/0/0,            0/0
  9,    景德镇,     23:19,     23:26,      07分,       853,         0,   156.5/-,   268.5/279/303,      487.5/550
 10,      黄山,     02:26,     02:30,      04分,      1040,         0,   173.5/-,   296.5/308/335,      533.5/601
 11,    绩溪县,     03:19,     03:26,      07分,      1093,         0,   177.5/-,   304.5/317/344,      550.5/620
 12,      宣城,     05:42,     05:45,      03分,      1236,         0,     192/-,     328/341/371,        590/665
 13,      芜湖,     06:40,     06:46,      06分,      1294,         0,     198/-,     337/350/381,        602/678
 14,    马鞍山,     07:36,     07:43,      07分,      1350,         0,     201/-,     343/357/387,        616/694
 15,      南京,     08:55,     09:08,      13分,      1429,         0,     206/-,     353/367/399,        628/708
 16,      扬州,     10:17,     10:20,      03分,      1511,         0,     217/-,     370/385/418,        656/739
 17,      泰州,     10:56,     10:56,      00分,      1550,         0,     224/-,     381/396/430,        667/752
