   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京西,         -,     15:05,         -,         -,         -,         -,               -,              -
  2,    石家庄,     17:40,     17:46,      06分,       155,         0,    43.5/-,     89.5/93/101,      135.5/153
  3,      邢台,     18:40,     18:43,      03分,       215,         0,    54.5/-,   100.5/105/114,      155.5/176
  4,      邯郸,     19:18,     19:21,      03分,       253,         0,    64.5/-,   115.5/120/131,      175.5/198
  5,      安阳,     20:02,     20:41,      39分,       297,         0,      72/-,     129/134/146,        197/222
  6,      新乡,     21:37,     21:39,      02分,       392,         0,      81/-,     144/150/163,        222/251
  7,      郑州,     22:29,     22:55,      26分,       444,         0,      93/-,     163/170/184,        251/283
  8,      襄阳,     05:02,     05:17,      15分,       837,         0,   148.5/-,   254.5/265/288,      398.5/449
  9,      十堰,     07:05,     07:09,      04分,       960,         0,   168.5/-,   288.5/300/326,      450.5/508
 10,      安康,     09:18,     09:26,      08分,      1093,         0,   189.5/-,   322.5/335/364,      504.5/569
 11,      万源,     11:17,     11:20,      03分,      1212,         0,     198/-,     337/350/381,        530/597
 12,      达州,     13:04,     13:17,      13分,      1319,         0,     206/-,     353/367/399,        556/627
 13,      渠县,     14:04,     14:10,      06分,      1379,         0,     217/-,     370/385/418,        585/659
 14,    重庆北,     16:19,     16:19,      00分,      1514,         0,     229/-,     389/404/439,        613/691
