   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      天津,         -,     14:03,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,   北京西,     15:19,     15:50,      31分,        76,       127,       -/-,304.5/315.5/325.5,       177.5/-
  3,      保定,     17:41,     17:45,       4分,       218,       273,       -/-,305.5/316.5/326.5,       178.5/-
  4,   石家庄,     19:04,     19:10,       6分,       301,       408,       -/-,306.5/317.5/327.5,       179.5/-
  5,      邢台,     20:04,     20:10,       6分,       361,       517,       -/-,307.5/318.5/328.5,       180.5/-
  6,      安阳,     21:30,     21:34,       4分,       447,       629,       -/-,308.5/319.5/329.5,       181.5/-
  7,      新乡,     22:30,     22:34,       4分,       507,       736,       -/-,309.5/320.5/330.5,       182.5/-
  8,      洛阳,     00:37,     00:42,       5分,       634,       940,       -/-,           -/-/-,           -/-
  9,      渭南,     04:30,     04:41,      11分,       867,      1271,       -/-,           -/-/-,           -/-
 10,      西安,     05:30,     05:45,      15分,       927,      1327,       -/-,310.5/321.5/331.5,       183.5/-
 11,      咸阳,     06:02,     06:04,       2分,       959,      1350,       -/-,           -/-/-,           -/-
 12,      杨陵,     06:38,     06:41,       3分,       995,      1412,       -/-,           -/-/-,           -/-
 13,   蔡家坡,     07:07,     07:10,       3分,      1024,      1457,       -/-,           -/-/-,           -/-
 14,      宝鸡,     07:45,         -,           ,      1062,      1500,       -/-,311.5/322.5/332.5,       184.5/-
