   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      广州,         -,     17:41,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      郴州,     21:28,     21:31,       3分,       221,       374,       -/-,99.5/104.5/107.5,        53.5/-
  3,      衡阳,     23:12,     23:17,       5分,       325,       521,       -/-,     133/138/142,          75/-
  4,      株洲,     00:39,     00:43,       4分,       412,       655,       -/-,     158/164/169,          91/-
  5,      长沙,     01:20,     01:26,       6分,       453,       707,       -/-,     171/176/182,          98/-
  6,      岳阳,     02:46,     02:56,      10分,       539,       854,       -/-,     194/200/208,         112/-
  7,      武昌,     05:11,     05:22,      11分,       684,      1069,       -/-,238.5/246.5/255.5,       138.5/-
  8,      孝感,     06:19,     06:22,       3分,       752,      1159,       -/-,254.5/263.5/272.5,       148.5/-
  9,      信阳,     07:54,     07:57,       3分,       847,      1303,       -/-,280.5/289.5/299.5,       163.5/-
 10,      许昌,     09:58,     10:01,       3分,       971,      1519,       -/-,310.5/321.5/331.5,       180.5/-
 11,      郑州,     10:54,     11:31,      37分,      1027,      1605,       -/-,     328/339/351,         192/-
 12,      新乡,     12:22,     12:24,       2分,      1115,      1685,       -/-,     337/349/361,         198/-
 13,      鹤壁,     12:59,     13:01,       2分,      1158,      1751,       -/-,     343/355/367,         201/-
 14,      邯郸,     13:56,     14:02,       6分,      1209,      1852,       -/-,     363/375/388,         213/-
 15,      邢台,     14:30,     14:33,       3分,      1243,      1904,       -/-,     370/383/397,         217/-
 16,   石家庄,     15:36,     15:42,       6分,      1309,      2013,       -/-,     381/393/407,         224/-
 17,      定州,     16:24,     16:26,       2分,      1357,      2088,       -/-,     399/414/428,         236/-
 18,      保定,     17:01,     17:07,       6分,      1394,      2148,       -/-,     408/421/436,         240/-
 19,   白洋淀,     17:33,     17:35,       2分,      1432,      2195,       -/-,     426/441/456,         251/-
 20,      天津,     19:25,     19:35,      10分,      1544,      2455,       -/-,434.5/449.5/464.5,       254.5/-
 21,      唐山,     20:50,     20:53,       3分,      1623,      2544,       -/-,455.5/472.5/487.5,       268.5/-
 22,   秦皇岛,     22:24,     22:28,       4分,      1723,      2167,       -/-,471.5/488.5/506.5,       278.5/-
 23,   山海关,     22:53,     23:03,      10分,      1752,      2633,       -/-,483.5/499.5/516.5,       285.5/-
 24,   沈阳北,     03:27,     03:51,      24分,      2026,      3021,       -/-,529.5/547.5/566.5,       313.5/-
 25,      昌图,     04:58,     05:00,       2分,      2117,      3153,       -/-,     536/555/575,         317/-
 26,      四平,     05:40,     05:43,       3分,      2159,      3206,       -/-,     546/566/585,         323/-
 27,      长春,     06:56,         -,           ,      2235,      3321,       -/-,     554/575/595,         328/-
