   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    嘉峪关,         -,     07:01,         -,         -,         -,         -,               -,              -
  2,      酒泉,     07:20,     07:22,      02分,        19,         0,       9/-,        55/58/63,            -/-
  3,      清水,     08:00,     08:02,      02分,        59,         0,    14.5/-,      60.5/63/69,            -/-
  4,      高台,     08:42,     08:44,      02分,       101,         0,    23.5/-,      69.5/73/79,            -/-
  5,      临泽,     09:07,     09:09,      02分,       126,         0,    28.5/-,      74.5/78/85,            -/-
  6,      张掖,     09:34,     09:38,      04分,       153,         0,    37.5/-,      83.5/87/95,            -/-
  7,      山丹,     10:06,     10:08,      02分,       185,         0,    41.5/-,      87.5/91/99,            -/-
  8,      金昌,     11:20,     11:22,      02分,       259,         0,    54.5/-,   100.5/105/114,            -/-
  9,      武威,     12:07,     12:07,      00分,       306,         0,      69/-,     123/128/139,            -/-
