   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      南昌,         -,     18:34,         -,         -,         -,         -,               -,              -
  2,      丰城,     19:14,     19:18,      04分,        40,         0,    12.5/-,      58.5/61/66,        87.5/99
  3,      樟树,     19:33,     19:37,      04分,        59,         0,    14.5/-,      60.5/63/69,       90.5/102
  4,      新余,     20:19,     20:24,      05分,       105,         0,    24.5/-,      70.5/74/80,      108.5/123
  5,      分宜,     20:41,     20:45,      04分,       127,         0,    29.5/-,      75.5/79/86,      115.5/131
  6,      宜春,     21:02,     21:12,      10分,       148,         0,    32.5/-,      78.5/82/89,      118.5/134
  7,      萍乡,     21:52,     21:57,      05分,       198,         0,    43.5/-,     89.5/93/101,      135.5/153
  8,      醴陵,     22:20,     22:25,      05分,       226,         0,    50.5/-,    96.5/101/109,      146.5/165
  9,      株洲,     22:58,     23:13,      15分,       264,         0,    53.5/-,    99.5/104/113,      152.5/172
 10,      衡阳,     00:40,     00:55,      15分,       366,         0,      72/-,     129/134/146,        197/222
 11,      郴州,     02:34,     02:37,      03分,       480,         0,      91/-,     158/165/179,        243/274
 12,    韶关东,     04:14,     04:25,      11分,       580,         0,     105/-,     184/191/208,        323/364
 13,    广州东,     07:10,     07:10,      00分,       756,         0,   135.5/-,   232.5/242/263,      414.5/467
