   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      泰州,         -,     19:58,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      盐城,     21:41,     21:49,       8分,       103,       157,       -/-,           -/-/-,           -/-
  3,      阜宁,     22:32,     22:35,       3分,       154,       218,       -/-,           -/-/-,           -/-
  4,      淮安,     23:18,     23:21,       3分,       200,       280,       -/-,           -/-/-,           -/-
  5,      沭阳,     23:59,     00:02,       3分,       241,       339,       -/-,           -/-/-,           -/-
  6,      新沂,     00:40,     00:43,       3分,       282,       391,       -/-,           -/-/-,           -/-
  7,      徐州,     01:56,     02:08,      12分,       358,       500,       -/-,     129/132/136,          72/-
  8,      德州,     06:24,     06:27,       3分,       626,       937,       -/-,           -/-/-,           -/-
  9,      沧州,     07:21,     07:24,       3分,       683,      1050,       -/-,           -/-/-,           -/-
 10,   天津西,     08:33,     08:35,       2分,       755,      1166,       -/-,           -/-/-,           -/-
 11,      北京,     09:58,         -,           ,       840,      1314,       -/-,   280.5/309/323,       163.5/-
