   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,   东莞东,         -,     11:40,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      惠州,     12:22,     12:27,       5分,        42,        54,       -/-,        57/62/65,          11/-
  3,      河源,     13:18,     13:29,      11分,        98,       134,       -/-,  67.5/72.5/75.5,        21.5/-
  4,      龙川,     14:24,     14:32,       8分,       164,       209,       -/-,  78.5/83.5/86.5,        32.5/-
  5,      赣州,     17:05,     17:24,      19分,       325,       450,       -/-,115.5/119.5/122.5,        64.5/-
  6,      吉安,     19:15,     19:20,       5分,       455,       636,       -/-,     152/156/161,          86/-
  7,   南昌西,     21:24,     21:31,       7分,       584,       862,       -/-,     200/206/214,         115/-
  8,      武昌,     00:56,     01:20,      24分,       796,      1224,       -/-,261.5/270.5/279.5,       152.5/-
  9,   襄阳东,     04:20,     04:40,      20分,      1000,      1553,       -/-,310.5/321.5/331.5,       180.5/-
 10,      十堰,     06:42,     06:46,       4分,      1142,      1724,       -/-,     337/349/361,         198/-
 11,      安康,     08:55,     09:01,       6分,      1275,      1926,       -/-,     370/383/397,         217/-
 12,      万源,     10:52,     10:54,       2分,      1392,      2077,       -/-,     389/403/416,         229/-
 13,      达州,     12:45,     12:56,      11分,      1505,      2202,       -/-,     408/421/436,         240/-
 14,      营山,     14:01,     14:04,       3分,      1581,      2303,       -/-,     443/459/475,         255/-
 15,      蓬安,     14:16,     14:19,       3分,      1596,      2320,       -/-,     447/463/479,         259/-
 16,      南充,     14:46,     14:49,       3分,      1626,      2360,       -/-,456.5/472.5/489.5,       265.5/-
 17,      遂宁,     15:59,     16:01,       2分,      1699,      2427,       -/-,480.5/496.5/513.5,       277.5/-
 18,      成都,     17:50,         -,           ,      1810,      2569,       -/-,501.5/517.5/534.5,       289.5/-
