   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      南宁,         -,     11:10,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      玉林,     11:41,     11:53,      12分,       216,       263,       -/-,  87.5/92.5/95.5,        41.5/-
  3,      黎塘,     12:39,     12:44,       5分,        89,       120,       -/-,           -/-/-,           -/-
  4,      贵港,     13:26,     13:31,       5分,       136,       174,       -/-,  88.5/93.5/96.5,        42.5/-
  5,      容县,     15:29,     15:32,       3分,       259,       315,       -/-,           -/-/-,           -/-
  6,      岑溪,     16:02,     16:05,       3分,       292,       362,       -/-,           -/-/-,           -/-
  7,      梧州,     17:00,     17:05,       5分,       350,       442,       -/-,           -/-/-,           -/-
  8,      贺州,     18:38,     18:48,      10分,       448,       577,       -/-,           -/-/-,           -/-
  9,      江华,     19:51,     19:56,       5分,       521,       673,       -/-,           -/-/-,           -/-
 10,      江永,     20:20,     20:48,      28分,       550,       695,       -/-,           -/-/-,           -/-
 11,      道州,     21:03,     21:12,       9分,       593,       717,       -/-,           -/-/-,           -/-
 12,      永州,     22:26,     22:41,      15分,       676,       829,       -/-,     194/200/208,         112/-
 13,      衡阳,     00:18,     00:38,      20分,       788,       965,       -/-,           -/-/-,           -/-
 14,      株洲,     02:02,     02:20,      18分,       892,      1099,       -/-,           -/-/-,           -/-
 15,      萍乡,     03:07,     03:12,       5分,       957,      1180,       -/-,           -/-/-,           -/-
 16,      新余,     04:19,     04:24,       5分,      1029,      1305,       -/-,           -/-/-,           -/-
 17,      鹰潭,     06:29,     06:36,       7分,      1159,      1551,       -/-,           -/-/-,           -/-
 18,      金华,     09:34,     09:40,       6分,      1344,      1864,       -/-,           -/-/-,           -/-
 19,      义乌,     10:09,     10:12,       3分,      1379,      1912,       -/-,           -/-/-,           -/-
 20,      诸暨,     10:36,     10:39,       3分,      1406,      1964,       -/-,           -/-/-,           -/-
 21,   杭州东,     11:29,     11:35,       6分,      1459,      2057,       -/-,     389/403/416,         229/-
 22,      海宁,     12:08,     12:11,       3分,      1498,      2116,       -/-,           -/-/-,           -/-
 23,      嘉兴,     12:29,     12:32,       3分,      1519,      2144,       -/-,           -/-/-,           -/-
 24,   上海南,     13:27,         -,           ,      1577,      2224,       -/-,     414/429/444,         243/-
