   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    上海南,         -,     11:27,         -,         -,         -,         -,               -,              -
  2,      嘉兴,     12:09,     12:12,      03分,        42,         0,       -/-,      58.5/61/66,       89.5/101
  3,      海宁,     12:30,     12:33,      03分,        63,         0,       -/-,      62.5/65/71,       96.5/109
  4,    杭州东,     13:13,     13:19,      06分,       106,         0,       -/-,      70.5/74/80,      108.5/123
  5,      义乌,     14:25,     14:28,      03分,       178,         0,       -/-,     92.5/97/105,      140.5/159
  6,      金华,     15:05,     15:11,      06分,       218,         0,       -/-,    97.5/102/110,      149.5/169
  7,      上饶,     17:13,     17:17,      04分,       346,         0,       -/-,     139/145/157,        214/242
  8,      鹰潭,     18:18,     18:30,      12分,       411,         0,       0/-,           0/0/0,            0/0
  9,      新余,     20:33,     20:38,      05分,       546,         0,       -/-,     207/215/234,        324/365
 10,      株洲,     22:46,     23:06,      20分,       679,         0,       -/-,   244.5/254/276,      381.5/430
 11,      衡阳,     00:27,     00:45,      18分,       780,         0,       -/-,   268.5/279/303,      422.5/476
 12,      永州,     02:15,     02:44,      29分,       888,         0,       -/-,   288.5/300/326,      450.5/508
 13,    桂林北,     05:30,     05:30,      00分,      1083,         0,       -/-,   322.5/335/364,      504.5/569
