   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,   重庆北,         -,     07:40,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      广安,     08:57,     09:03,       6分,        77,       131,       -/-,  67.5/72.5/75.5,        21.5/-
  3,      渠县,     09:31,     09:39,       8分,       111,       169,       -/-,  70.5/75.5/78.5,        24.5/-
  4,      达州,     10:34,     10:43,       9分,       174,       242,       -/-,  86.5/91.5/94.5,        40.5/-
  5,      安康,     13:37,     13:50,      13分,       357,       518,       -/-,     129/132/136,          72/-
  6,      十堰,     16:37,     16:42,       5分,       537,       720,       -/-,     171/176/182,          98/-
  7,      襄阳,     18:59,     19:19,      20分,       679,       891,       -/-,     200/206/214,         115/-
  8,      信阳,     22:14,     22:26,      12分,       874,      1130,       -/-,           -/-/-,           -/-
  9,      罗山,     22:57,     23:00,       3分,       917,      1176,       -/-,           -/-/-,           -/-
 10,      息县,     23:20,     23:24,       4分,       940,      1203,       -/-,           -/-/-,           -/-
 11,      潢川,     23:52,     00:01,       9分,       972,      1234,       -/-,           -/-/-,           -/-
 12,      合肥,     02:57,     03:12,      15分,      1157,      1474,       -/-,304.5/315.5/325.5,       177.5/-
 13,      扬州,     05:28,     05:31,       3分,      1308,      1696,       -/-,           -/-/-,           -/-
 14,      泰州,     06:28,     06:32,       4分,      1368,      1760,       -/-,           -/-/-,           -/-
 15,   海安县,     07:06,     07:10,       4分,      1406,      1814,       -/-,           -/-/-,           -/-
 16,      如皋,     07:25,     07:28,       3分,      1425,      1834,       -/-,           -/-/-,           -/-
 17,      南通,     07:57,         -,           ,      1457,      1879,       -/-,     399/415/429,         230/-
