   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    桂林北,         -,     16:44,         -,         -,         -,         -,               -,              -
  2,    兴安北,     17:20,     17:23,      03分,        36,         0,       -/-,        57/60/65,        86.5/98
  3,    全州南,     17:56,     17:59,      03分,        72,         0,       -/-,      62.5/65/71,       96.5/109
  4,    东安东,     18:43,     18:46,      03分,       119,         0,       -/-,      70.5/74/80,      108.5/123
  5,      永州,     19:12,     19:18,      06分,       148,         0,       -/-,      75.5/79/86,      115.5/131
  6,      衡阳,     20:49,     21:07,      18分,       245,         0,       -/-,    96.5/101/109,      146.5/165
  7,      株洲,     22:29,     22:54,      25分,       345,         0,       -/-,     123/128/139,        186/210
  8,      新余,     00:45,     00:49,      04分,      -959,         0,       -/-,     163/170/184,        251/283
  9,      鹰潭,     02:53,     03:06,      13分,      -831,         0,       0/-,           0/0/0,            0/0
 10,      上饶,     04:07,     04:12,      05分,       683,         0,       -/-,   232.5/242/263,      360.5/406
 11,      金华,     06:04,     06:10,      06分,      -640,         0,       -/-,   261.5/272/296,      409.5/462
 12,      义乌,     06:39,     06:42,      03分,      -605,         0,       -/-,   268.5/279/303,      422.5/476
 13,    杭州东,     07:52,     07:58,      06分,      -532,         0,       -/-,   296.5/308/335,      464.5/524
 14,      海宁,     08:31,     08:40,      09分,      -493,         0,       -/-,   304.5/317/344,      476.5/537
 15,      嘉兴,     09:02,     09:05,      03分,      -462,         0,       -/-,   310.5/323/351,      488.5/551
 16,    上海南,     10:19,     10:19,      00分,      1055,         0,       -/-,   322.5/335/364,      504.5/569
