   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      南宁,         -,     20:15,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,      来宾,     22:30,     22:35,      05分,       135,         0,    28.5/-,      74.5/78/85,      113.5/128
  3,      柳州,     23:27,     23:34,      07分,       192,         0,    40.5/-,      86.5/90/98,      129.5/146
  4,      怀化,     06:20,     06:40,      20分,       605,         0,      98/-,     171/178/193,        263/297
  5,      吉首,     08:12,     08:25,      13分,       717,         0,     105/-,     184/191/208,        285/321
  6,    张家界,     10:14,     10:25,      11分,       839,         0,     119/-,     207/215/234,        324/365
  7,      慈利,     11:41,     11:44,      03分,       926,         0,   128.5/-,   222.5/231/252,      348.5/393
  8,  石门县北,     12:31,     12:43,      12分,       976,         0,   135.5/-,   232.5/242/263,      360.5/406
  9,      当阳,     14:55,     14:58,      03分,      1120,         0,   152.5/-,   261.5/272/296,      409.5/462
 10,      荆门,     15:35,     15:38,      03分,      1160,         0,   156.5/-,268.5/279.5/303.5,     422.5/476
 11,      襄阳,     17:01,     17:25,      24分,      1246,         0,   173.5/-,   296.5/308/335,      464.5/524
 12,      邓州,     18:29,     18:34,      05分,      1334,         0,   177.5/-,   304.5/317/344,      476.5/537
 13,      南阳,     19:42,     20:16,      34分,      1407,         0,   180.5/-,   310.5/323/351,      488.5/551
 14,      镇平,     20:56,     20:59,      03分,      1481,         0,   189.5/-,   322.5/335/364,      504.5/569
 15,      内乡,     21:23,     21:26,      03分,      1508,         0,     192/-,     328/341/371,        515/580
 16,      西峡,     21:56,     21:59,      03分,      1541,         0,     192/-,     328/341/371,        515/580
 17,      西安,     02:53,     03:13,      20分,      1838,         0,     224/-,     381/396/430,        598/674
 18,      宝鸡,     05:07,     05:12,      05分,      1972,         0,     240/-,     408/424/461,        640/721
 19,      天水,     07:01,     07:05,      04分,      2086,         0,     251/-,     426/443/481,        673/758
 20,      甘谷,     07:47,     07:49,      02分,      2132,         0,   254.5/-,   434.5/452/491,      687.5/775
 21,      陇西,     08:33,     08:36,      03分,      2178,         0,   263.5/-,   446.5/464/504,      704.5/794
 22,      定西,     09:30,     09:33,      03分,      2235,         0,   268.5/-,   455.5/473/514,      718.5/810
 23,      兰州,     11:12,     11:27,      15分,      2337,         0,   278.5/-,   471.5/490/532,      747.5/842
 24,      武威,     14:29,     14:35,      06分,      2534,         0,   299.5/-,   507.5/527/573,      802.5/904
 25,      金昌,     15:12,     15:15,      03分,      2577,         0,   302.5/-,   513.5/534/580,      814.5/918
 26,      张掖,     16:56,     17:02,      06分,      2681,         0,     317/-,     536/557/605,        849/957
 27,      清水,     18:16,     18:19,      03分,      2761,         0,     328/-,     554/576/626,        879/990
 28,      酒泉,     18:58,     19:02,      04分,      2803,         0,     335/-,     566/588/639,       896/1010
 29,    嘉峪关,     19:21,     19:29,      08分,      2826,         0,     335/-,     566/588/639,       896/1010
 30,      柳园,     22:28,     22:34,      06分,      3013,         0,     360/-,     606/630/684,       961/1083
 31,      哈密,     01:29,     01:37,      08分,      3194,         0,   376.5/-,   635.5/660/717,    1008.5/1136
 32,      鄯善,     03:55,     04:01,      06分,      3340,         0,   397.5/-,   670.5/696/757,    1062.5/1197
 33,    吐鲁番,     05:18,     05:24,      06分,      3423,         0,   412.5/-,   694.5/721/784,    1098.5/1238
 34,乌鲁木齐南,     06:51,     07:07,      16分,      3516,         0,   423.5/-,   714.5/742/807,    1133.5/1277
 35,  乌鲁木齐,     07:22,     07:22,      00分,      3547,         0,   423.5/-,   714.5/742/807,    1133.5/1277
