   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      北海,         -,     10:38,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      合浦,     10:52,     10:54,       2分,        14,        23,     6.5/8,           -/-/-,           -/-
  3,    钦州东,     11:25,     11:27,       2分,        47,        91,   26.5/32,           -/-/-,           -/-
  4,    南宁东,     12:12,     12:35,      23分,        94,       197,   58/69.5,           -/-/-,           -/-
  5,      贵港,     13:25,     13:27,       2分,       167,       337,    99/119,           -/-/-,           -/-
  6,      桂平,     13:51,     13:53,       2分,       193,       395,   116/139,           -/-/-,           -/-
  7,    平南南,     14:08,     14:10,       2分,       210,       430,   126/151,           -/-/-,           -/-
  8,      藤县,     14:33,     14:35,       2分,       235,       489, 143.5/172,           -/-/-,           -/-
  9,    梧州南,     14:48,     14:52,       4分,       250,       514, 150.5/181,           -/-/-,           -/-
 10,    肇庆东,     15:53,     15:55,       2分,       315,       684,   203/244,           -/-/-,           -/-
 11,    三水南,     16:07,     16:09,       2分,       329,       709, 210.5/253,           -/-/-,           -/-
 12,    广州南,     16:38,         -,          ,       360,       760, 226.5/272,           -/-/-,           -/-
