   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      汉口,         -,     08:10,         -,         -,         -,         -,               -,              -
  2,      武汉,     08:33,     08:39,      06分,        23,         0,     9.5/-,           -/-/-,            -/-
  3,      鄂州,     09:12,     09:14,      02分,        62,         0,    27.5/-,           -/-/-,            -/-
  4,      黄石,     09:27,     09:29,      02分,        77,         0,    35.5/-,           -/-/-,            -/-
  5,      瑞昌,     10:29,     10:30,      01分,       139,         0,    66.5/-,           -/-/-,            -/-
  6,      德安,     10:58,     10:59,      01分,       168,         0,    85.5/-,           -/-/-,            -/-
  7,    南昌西,     11:29,     11:33,      04分,       199,         0,     111/-,           -/-/-,            -/-
  8,      抚州,     12:11,     12:13,      02分,       241,         0,     141/-,           -/-/-,            -/-
  9,  建宁县北,     12:57,     12:59,      02分,       287,         0,   178.5/-,           -/-/-,            -/-
 10,      泰宁,     13:12,     13:14,      02分,       302,         0,   187.5/-,           -/-/-,            -/-
 11,    三明北,     13:47,     13:49,      02分,       337,         0,   214.5/-,           -/-/-,            -/-
 12,      永泰,     14:37,     14:41,      04分,       387,         0,   254.5/-,           -/-/-,            -/-
 13,      福州,     15:06,     15:06,      00分,       416,         0,   271.5/-,           -/-/-,            -/-
