   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      北京,         -,     15:51,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    唐山北,     17:00,     17:02,       2分,        69,       151, 44.5/52.5,           -/-/-,           -/-
  3,    秦皇岛,     18:12,     18:14,       2分,       141,       299,87.5/104.5,           -/-/-,           -/-
  4,    山海关,     18:34,     18:36,       2分,       163,       315,92.5/110.5,           -/-/-,           -/-
  5,    东戴河,     18:44,     18:45,       1分,       173,       324,    95/114,           -/-/-,           -/-
  6,      盘锦,     20:12,     20:16,       4分,       261,       578,   170/208,           -/-/-,           -/-
  7,    营口东,     20:48,     20:50,       2分,       297,       667, 197.5/252,           -/-/-,           -/-
  8,    鲅鱼圈,     21:09,     21:11,       2分,       318,       724,   215/280,           -/-/-,           -/-
  9,  瓦房店西,     21:31,     21:41,      10分,       340,       795,   237/315,           -/-/-,           -/-
 10,    大连北,     22:08,         -,          ,       377,       873, 261/353.5,           -/-/-,           -/-
