   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  上海虹桥,         -,     13:30,         -,         -,         -,         -,               -,              -
  2,  苏州园区,     13:55,     13:57,      02分,        25,         0,    22.5/-,           -/-/-,            -/-
  3,      苏州,     14:04,     14:06,      02分,        34,         0,    22.5/-,           -/-/-,            -/-
  4,      无锡,     14:21,     14:23,      02分,        51,         0,    38.5/-,           -/-/-,            -/-
  5,      常州,     14:38,     14:40,      02分,        68,         0,    50.5/-,           -/-/-,            -/-
  6,      镇江,     15:04,     15:06,      02分,        94,         0,    72.5/-,           -/-/-,            -/-
  7,    南京南,     15:34,     15:38,      04分,       124,         0,    95.5/-,           -/-/-,            -/-
  8,      全椒,     15:59,     16:01,      02分,       149,         0,   115.5/-,           -/-/-,            -/-
  9,    合肥南,     16:39,     16:43,      04分,       189,         0,   156.5/-,           -/-/-,            -/-
 10,      六安,     17:11,     17:13,      02分,       221,         0,     182/-,           -/-/-,            -/-
 11,      金寨,     17:33,     17:35,      02分,       243,         0,   197.5/-,           -/-/-,            -/-
 12,      汉口,     18:54,     18:54,      00分,       324,         0,     262/-,           -/-/-,            -/-
