   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      南京,         -,     08:10,         -,         -,         -,         -,               -,              -
  2,      镇江,     08:33,     08:35,      02分,        23,         0,    19.5/-,           -/-/-,            -/-
  3,      丹阳,     08:47,     08:52,      05分,        37,         0,      28/-,           -/-/-,            -/-
  4,      常州,     09:08,     09:10,      02分,        58,         0,      42/-,           -/-/-,            -/-
  5,      惠山,     09:21,     09:23,      02分,        71,         0,    49.5/-,           -/-/-,            -/-
  6,      无锡,     09:31,     09:33,      02分,        81,         0,      58/-,           -/-/-,            -/-
  7,  无锡新区,     09:41,     09:43,      02分,        91,         0,      58/-,           -/-/-,            -/-
  8,      苏州,     09:55,     10:02,      07分,       105,         0,      67/-,           -/-/-,            -/-
  9,    昆山南,     10:14,     10:17,      03分,       124,         0,    77.5/-,           -/-/-,            -/-
 10,  上海虹桥,     10:37,     10:42,      05分,       147,         0,      93/-,           -/-/-,            -/-
 11,    松江南,     10:57,     11:02,      05分,       167,         0,   102.5/-,           -/-/-,            -/-
 12,    嘉善南,     11:16,     11:22,      06分,       186,         0,   113.5/-,           -/-/-,            -/-
 13,    嘉兴南,     11:30,     11:33,      03分,       200,         0,     119/-,           -/-/-,            -/-
 14,    海宁西,     11:49,     11:51,      02分,       219,         0,     134/-,           -/-/-,            -/-
 15,    杭州东,     12:04,     12:06,      02分,       234,         0,     142/-,           -/-/-,            -/-
 16,    绍兴北,     12:25,     12:27,      02分,       255,         0,   155.5/-,           -/-/-,            -/-
 17,    上虞北,     12:39,     12:44,      05分,       269,         0,     165/-,           -/-/-,            -/-
 18,    余姚北,     12:55,     12:57,      02分,       285,         0,   174.5/-,           -/-/-,            -/-
 19,      宁波,     13:18,     13:25,      07分,       308,         0,     190/-,           -/-/-,            -/-
 20,    三门县,     14:03,     14:05,      02分,       353,         0,     221/-,           -/-/-,            -/-
 21,      台州,     14:24,     14:26,      02分,       374,         0,   234.5/-,           -/-/-,            -/-
 22,    雁荡山,     14:44,     14:46,      02分,       394,         0,   248.5/-,           -/-/-,            -/-
 23,    温州南,     15:17,     15:19,      02分,       427,         0,     271/-,           -/-/-,            -/-
 24,      鳌江,     15:36,     15:38,      02分,       446,         0,     282/-,           -/-/-,            -/-
 25,      苍南,     15:49,     15:51,      02分,       459,         0,   287.5/-,           -/-/-,            -/-
 26,      福鼎,     16:07,     16:09,      02分,       477,         0,   298.5/-,           -/-/-,            -/-
 27,      宁德,     16:46,     16:49,      03分,       516,         0,     331/-,           -/-/-,            -/-
 28,    福州南,     17:24,     17:29,      05分,       554,         0,     357/-,           -/-/-,            -/-
 29,      福清,     17:43,     17:45,      02分,       573,         0,   367.5/-,           -/-/-,            -/-
 30,      莆田,     18:05,     18:07,      02分,       595,         0,     382/-,           -/-/-,            -/-
 31,      晋江,     18:39,     18:41,      02分,       629,         0,   409.5/-,           -/-/-,            -/-
 32,    厦门北,     18:59,     19:13,      14分,       649,         0,   423.5/-,           -/-/-,            -/-
 33,      漳州,     19:32,     19:35,      03分,       682,         0,     435/-,           -/-/-,            -/-
 34,      龙岩,     20:19,     20:23,      04分,       729,         0,     469/-,           -/-/-,            -/-
 35,  古田会址,     20:39,     20:41,      02分,       749,         0,   479.5/-,           -/-/-,            -/-
 36,      瑞金,     21:22,     21:24,      02分,       792,         0,   522.5/-,           -/-/-,            -/-
 37,      于都,     21:51,     21:53,      02分,       821,         0,   549.5/-,           -/-/-,            -/-
 38,      赣州,     22:21,     22:21,      00分,       851,         0,     568/-,           -/-/-,            -/-
