   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      广州,         -,     11:28,         -,         -,         -,         -,               -,              -
  2,    肇庆东,     12:08,     12:10,      02分,        40,         0,    33.5/-,           -/-/-,            -/-
  3,      贺州,     13:07,     13:09,      02分,        99,         0,    90.5/-,           -/-/-,            -/-
  4,      恭城,     13:35,     13:37,      02分,       127,         0,   116.5/-,           -/-/-,            -/-
  5,    桂林西,     14:17,     14:21,      04分,       169,         0,     147/-,           -/-/-,            -/-
  6,    三江南,     14:52,     14:54,      02分,       204,         0,   173.5/-,           -/-/-,            -/-
  7,    都匀东,     16:02,     16:04,      02分,       274,         0,   238.5/-,           -/-/-,            -/-
  8,    龙里北,     16:31,     16:33,      02分,       303,         0,   261.5/-,           -/-/-,            -/-
  9,    龙洞堡,     16:45,     16:47,      02分,       317,         0,   268.5/-,           -/-/-,            -/-
 10,    贵阳北,     17:05,     17:05,      00分,       337,         0,   277.5/-,           -/-/-,            -/-
