   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    深圳北,         -,     08:16,         -,         -,         -,         -,               -,              -
  2,  深圳坪山,     08:37,     08:39,      02分,        21,         0,    10.5/-,           -/-/-,            -/-
  3,      鲘门,     09:10,     09:12,      02分,        54,         0,      36/-,           -/-/-,            -/-
  4,      汕尾,     09:26,     09:28,      02分,        70,         0,    45.5/-,           -/-/-,            -/-
  5,      普宁,     10:04,     10:06,      02分,       108,         0,      74/-,           -/-/-,            -/-
  6,      潮汕,     10:34,     10:36,      02分,       138,         0,   101.5/-,           -/-/-,            -/-
  7,      饶平,     10:56,     10:58,      02分,       160,         0,   101.5/-,           -/-/-,            -/-
  8,      云霄,     11:17,     11:19,      02分,       181,         0,     116/-,           -/-/-,            -/-
  9,      漳浦,     11:32,     11:34,      02分,       196,         0,   125.5/-,           -/-/-,            -/-
 10,      漳州,     11:52,     11:54,      02分,       216,         0,     138/-,           -/-/-,            -/-
 11,    厦门北,     12:14,     12:21,      07分,       238,         0,   150.5/-,           -/-/-,            -/-
 12,      泉州,     12:48,     12:48,      00分,       272,         0,   171.5/-,           -/-/-,            -/-
