   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    杭州东,         -,     08:24,         -,         -,         -,         -,               -,              -
  2,    绍兴北,     08:44,     08:46,      02分,        20,         0,    13.5/-,           -/-/-,            -/-
  3,    上虞北,     08:59,     09:01,      02分,        35,         0,      23/-,           -/-/-,            -/-
  4,    余姚北,     09:15,     09:17,      02分,        51,         0,    32.5/-,           -/-/-,            -/-
  5,      宁波,     09:41,     09:47,      06分,        77,         0,      48/-,           -/-/-,            -/-
  6,      临海,     10:32,     10:34,      02分,       128,         0,      86/-,           -/-/-,            -/-
  7,      台州,     10:46,     10:48,      02分,       142,         0,    92.5/-,           -/-/-,            -/-
  8,    雁荡山,     11:06,     11:08,      02分,       162,         0,   106.5/-,           -/-/-,            -/-
  9,    温州南,     11:38,     11:40,      02分,       194,         0,     129/-,           -/-/-,            -/-
 10,      鳌江,     11:58,     12:01,      03分,       214,         0,     140/-,           -/-/-,            -/-
 11,      苍南,     12:11,     12:13,      02分,       227,         0,   145.5/-,           -/-/-,            -/-
 12,      罗源,     13:10,     13:12,      02分,       286,         0,   196.5/-,           -/-/-,            -/-
 13,      连江,     13:25,     13:27,      02分,       301,         0,   205.5/-,           -/-/-,            -/-
 14,    福州南,     13:45,     13:49,      04分,       321,         0,     215/-,           -/-/-,            -/-
 15,      莆田,     14:19,     14:22,      03分,       355,         0,     240/-,           -/-/-,            -/-
 16,      泉州,     14:47,     14:53,      06分,       383,         0,   260.5/-,           -/-/-,            -/-
 17,    厦门北,     15:19,     15:19,      00分,       415,         0,   281.5/-,           -/-/-,            -/-
