   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    广州南,         -,     15:55,         -,         -,         -,         -,               -,              -
  2,    三水南,     16:22,     16:24,      02分,        27,         0,    15.5/-,           -/-/-,            -/-
  3,    肇庆东,     16:37,     16:39,      02分,        42,         0,    23.5/-,           -/-/-,            -/-
  4,    梧州南,     17:42,     17:46,      04分,       107,         0,      76/-,           -/-/-,            -/-
  5,      藤县,     17:59,     18:01,      02分,       124,         0,      83/-,           -/-/-,            -/-
  6,    平南南,     18:24,     18:26,      02分,       149,         0,   100.5/-,           -/-/-,            -/-
  7,      桂平,     18:41,     18:43,      02分,       166,         0,   110.5/-,           -/-/-,            -/-
  8,      贵港,     19:07,     19:09,      02分,       192,         0,     128/-,           -/-/-,            -/-
  9,    南宁东,     19:59,     20:21,      22分,       244,         0,     169/-,           -/-/-,            -/-
 10,    钦州东,     21:06,     21:08,      02分,       311,         0,     200/-,           -/-/-,            -/-
 11,      合浦,     21:39,     21:41,      02分,       344,         0,     220/-,           -/-/-,            -/-
 12,      北海,     21:55,     21:55,      00分,       360,         0,   226.5/-,           -/-/-,            -/-
