   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      宁波,         -,     17:07,         -,         -,         -,         -,               -,              -
  2,    三门县,     17:45,     17:47,      02分,        38,         0,    35.5/-,           -/-/-,            -/-
  3,      台州,     18:06,     18:08,      02分,        59,         0,      49/-,           -/-/-,            -/-
  4,      温岭,     18:19,     18:21,      02分,        72,         0,    56.5/-,           -/-/-,            -/-
  5,      永嘉,     18:51,     18:53,      02分,       104,         0,      80/-,           -/-/-,            -/-
  6,    温州南,     19:04,     19:06,      02分,       117,         0,    85.5/-,           -/-/-,            -/-
  7,      苍南,     19:31,     19:34,      03分,       144,         0,     102/-,           -/-/-,            -/-
  8,      霞浦,     20:06,     20:08,      02分,       179,         0,     128/-,           -/-/-,            -/-
  9,      福安,     20:21,     20:24,      03分,       194,         0,   137.5/-,           -/-/-,            -/-
 10,    福州南,     21:07,     21:18,      11分,       240,         0,   171.5/-,           -/-/-,            -/-
 11,      福清,     21:32,     21:34,      02分,       265,         0,     182/-,           -/-/-,            -/-
 12,      莆田,     21:54,     21:56,      02分,       287,         0,   196.5/-,           -/-/-,            -/-
 13,      泉州,     22:21,     22:23,      02分,       314,         0,     217/-,           -/-/-,            -/-
 14,      晋江,     22:34,     22:36,      02分,       327,         0,     224/-,           -/-/-,            -/-
 15,    厦门北,     22:55,     22:55,      00分,       348,         0,     238/-,           -/-/-,            -/-
