   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    贵阳北,         -,     10:13,         -,         -,         -,         -,               -,              -
  2,    都匀东,     10:58,     11:00,      02分,        45,         0,      39/-,           -/-/-,            -/-
  3,    三都县,     11:13,     11:15,      02分,        60,         0,      47/-,           -/-/-,            -/-
  4,      从江,     11:56,     11:58,      02分,       103,         0,    87.5/-,           -/-/-,            -/-
  5,    三江南,     12:18,     12:20,      02分,       125,         0,   103.5/-,           -/-/-,            -/-
  6,    桂林西,     12:50,     12:54,      04分,       157,         0,   130.5/-,           -/-/-,            -/-
  7,    钟山西,     13:50,     13:52,      02分,       217,         0,   179.5/-,           -/-/-,            -/-
  8,      贺州,     14:02,     14:04,      02分,       229,         0,     187/-,           -/-/-,            -/-
  9,      怀集,     14:34,     14:36,      02分,       261,         0,     215/-,           -/-/-,            -/-
 10,      广宁,     14:53,     14:55,      02分,       280,         0,     229/-,           -/-/-,            -/-
 11,    广州南,     15:42,     15:42,      00分,       329,         0,   267.5/-,           -/-/-,            -/-
