   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,齐齐哈尔南,         -,     08:24,         -,         -,         -,         -,               -,              -
  2,      泰康,     08:45,     08:46,      01分,        21,         0,      23/-,           -/-/-,            -/-
  3,    大庆西,     09:00,     09:02,      02分,        36,         0,      38/-,           -/-/-,            -/-
  4,      肇东,     09:33,     09:34,      01分,        69,         0,      76/-,           -/-/-,            -/-
  5,    哈尔滨,     09:58,     10:00,      02分,        94,         0,     100/-,           -/-/-,            -/-
  6,  哈尔滨西,     10:09,     10:09,      00分,       105,         0,     100/-,           -/-/-,            -/-
