   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    贵阳北,         -,     13:27,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    龙洞堡,     13:43,     13:45,       2分,        16,        28,  8.5/10.5,           -/-/-,           -/-
  3,      榕江,     14:45,     14:47,       2分,        78,       227,     70/84,           -/-/-,           -/-
  4,    三江南,     15:24,     15:26,       2分,       117,       336,103.5/124.5,           -/-/-,           -/-
  5,    桂林西,     15:56,     16:00,       4分,       149,       423,130.5/156.5,           -/-/-,           -/-
  6,      恭城,     16:40,     16:42,       2分,       193,       522, 161/193.5,           -/-/-,           -/-
  7,      贺州,     17:08,     17:10,       2分,       221,       606, 187/224.5,           -/-/-,           -/-
  8,      广宁,     17:53,     17:55,       2分,       266,       742, 229/274.5,           -/-/-,           -/-
  9,    三水南,     18:19,     18:21,       2分,       292,       816,   252/302,           -/-/-,           -/-
 10,      广州,     18:54,         -,          ,       327,       864, 277.5/333,           -/-/-,           -/-
