   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    兰州西,         -,     08:30,         -,         -,         -,         -,               -,              -
  2,    民和南,     09:04,     09:06,      02分,        34,         0,      27/-,           -/-/-,            -/-
  3,      西宁,     09:42,     09:46,      04分,        72,         0,      58/-,           -/-/-,            -/-
  4,      门源,     10:24,     10:26,      02分,       114,         0,      88/-,           -/-/-,            -/-
  5,    张掖西,     11:35,     11:37,      02分,       185,         0,   149.5/-,           -/-/-,            -/-
  6,    高台南,     12:05,     12:07,      02分,       215,         0,   171.5/-,           -/-/-,            -/-
  7,    酒泉南,     12:50,     12:53,      03分,       260,         0,   208.5/-,           -/-/-,            -/-
  8,  嘉峪关南,     13:05,     13:11,      06分,       275,         0,     215/-,           -/-/-,            -/-
  9,    柳园南,     14:45,     14:48,      03分,       375,         0,     304/-,           -/-/-,            -/-
 10,      哈密,     16:14,     16:20,      06分,       464,         0,     385/-,           -/-/-,            -/-
 11,      吐哈,     17:38,     17:41,      03分,       548,         0,   461.5/-,           -/-/-,            -/-
 12,  吐鲁番北,     18:22,     18:25,      03分,       592,         0,   499.5/-,           -/-/-,            -/-
 13,乌鲁木齐南,     19:22,     19:41,      19分,       652,         0,   548.5/-,           -/-/-,            -/-
 14,  乌鲁木齐,     19:53,     19:53,      00分,       683,         0,   548.5/-,           -/-/-,            -/-
