   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  哈尔滨西,         -,     16:54,         -,         -,         -,         -,               -,              -
  2,    哈尔滨,     17:04,     17:06,      02分,        10,         0,       7/-,           -/-/-,            -/-
  3,  哈尔滨北,     17:17,     17:18,      01分,        23,         0,       7/-,           -/-/-,            -/-
  4,    大庆东,     17:56,     17:58,      02分,        62,         0,      54/-,           -/-/-,            -/-
  5,齐齐哈尔南,     18:35,     18:35,      00分,       101,         0,     100/-,           -/-/-,            -/-
