   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    桂林北,         -,     15:33,         -,         -,         -,         -,               -,              -
  2,      阳朔,     16:05,     16:07,      02分,        32,         0,    20.5/-,           -/-/-,            -/-
  3,    钟山西,     16:37,     16:39,      02分,        64,         0,    49.5/-,           -/-/-,            -/-
  4,      贺州,     16:49,     16:51,      02分,        76,         0,      57/-,           -/-/-,            -/-
  5,      怀集,     17:21,     17:23,      02分,       108,         0,      85/-,           -/-/-,            -/-
  6,    肇庆东,     17:52,     17:54,      02分,       139,         0,     114/-,           -/-/-,            -/-
  7,    广州南,     18:31,     18:31,      00分,       178,         0,   137.5/-,           -/-/-,            -/-
