   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    广州南,         -,     17:11,         -,         -,         -,         -,               -,              -
  2,    肇庆东,     17:46,     17:48,      02分,        35,         0,    23.5/-,           -/-/-,            -/-
  3,      怀集,     18:17,     18:19,      02分,        66,         0,      53/-,           -/-/-,            -/-
  4,      贺州,     18:48,     18:50,      02分,        97,         0,    80.5/-,           -/-/-,            -/-
  5,      恭城,     19:16,     19:18,      02分,       125,         0,   106.5/-,           -/-/-,            -/-
  6,    桂林西,     19:55,     19:59,      04分,       164,         0,     137/-,           -/-/-,            -/-
  7,    三江南,     20:29,     20:31,      02分,       198,         0,     164/-,           -/-/-,            -/-
  8,      从江,     20:55,     20:57,      02分,       224,         0,     180/-,           -/-/-,            -/-
  9,    都匀东,     21:46,     21:48,      02分,       275,         0,   228.5/-,           -/-/-,            -/-
 10,    贵阳北,     22:36,     22:36,      00分,       325,         0,   267.5/-,           -/-/-,            -/-
